suicide hotline number,isPartial,date
0,False,2019-01-06
0,False,2019-01-13
0,False,2019-01-20
0,False,2019-01-27
0,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
45,False,2019-02-24
47,False,2019-03-03
0,False,2019-03-10
0,False,2019-03-17
49,False,2019-03-24
49,False,2019-03-31
0,False,2019-04-07
0,False,2019-04-14
0,False,2019-04-21
74,False,2019-04-28
50,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
0,False,2019-05-26
0,False,2019-06-02
48,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
52,False,2019-06-30
100,False,2019-07-07
0,False,2019-07-14
0,False,2019-07-21
0,False,2019-07-28
52,False,2019-08-04
0,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
0,False,2019-09-08
47,False,2019-09-15
46,False,2019-09-22
92,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
91,False,2019-10-20
45,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
43,False,2019-12-01
0,False,2019-12-08
44,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
42,False,2020-02-09
83,False,2020-02-16
39,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
36,False,2020-04-12
36,False,2020-04-19
0,False,2020-04-26
36,False,2020-05-03
37,False,2020-05-10
0,False,2020-05-17
38,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
40,False,2020-06-21
41,False,2020-06-28
0,False,2020-07-05
41,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
40,False,2020-08-30
