suicide text hotline,isPartial,date
73,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
78,False,2019-10-06
75,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
72,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
74,False,2019-12-08
0,False,2019-12-15
81,False,2019-12-22
76,False,2019-12-29
70,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
70,False,2020-01-26
70,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
100,False,2020-03-01
0,False,2020-03-08
65,False,2020-03-15
0,False,2020-03-22
63,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
61,False,2020-04-19
61,False,2020-04-26
0,False,2020-05-03
63,False,2020-05-10
63,False,2020-05-17
64,False,2020-05-24
0,False,2020-05-31
60,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
69,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
71,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,False,2020-08-16
70,False,2020-08-23
0,True,2020-08-30
