suicide chat + suicide chat room,isPartial,date
53,False,2019-01-06
82,False,2019-01-13
100,False,2019-01-20
85,False,2019-01-27
67,False,2019-02-03
81,False,2019-02-10
51,False,2019-02-17
46,False,2019-02-24
78,False,2019-03-03
96,False,2019-03-10
44,False,2019-03-17
66,False,2019-03-24
53,False,2019-03-31
57,False,2019-04-07
54,False,2019-04-14
27,False,2019-04-21
74,False,2019-04-28
84,False,2019-05-05
45,False,2019-05-12
36,False,2019-05-19
51,False,2019-05-26
66,False,2019-06-02
45,False,2019-06-09
73,False,2019-06-16
34,False,2019-06-23
33,False,2019-06-30
63,False,2019-07-07
59,False,2019-07-14
56,False,2019-07-21
69,False,2019-07-28
27,False,2019-08-04
36,False,2019-08-11
66,False,2019-08-18
56,False,2019-08-25
50,False,2019-09-01
80,False,2019-09-08
49,False,2019-09-15
66,False,2019-09-22
41,False,2019-09-29
25,False,2019-10-06
71,False,2019-10-13
28,False,2019-10-20
65,False,2019-10-27
57,False,2019-11-03
48,False,2019-11-10
73,False,2019-11-17
68,False,2019-11-24
28,False,2019-12-01
45,False,2019-12-08
33,False,2019-12-15
79,False,2019-12-22
34,False,2019-12-29
44,False,2020-01-05
61,False,2020-01-12
60,False,2020-01-19
39,False,2020-01-26
35,False,2020-02-02
66,False,2020-02-09
35,False,2020-02-16
37,False,2020-02-23
45,False,2020-03-01
33,False,2020-03-08
33,False,2020-03-15
47,False,2020-03-22
38,False,2020-03-29
50,False,2020-04-05
41,False,2020-04-12
37,False,2020-04-19
58,False,2020-04-26
45,False,2020-05-03
39,False,2020-05-10
39,False,2020-05-17
36,False,2020-05-24
32,False,2020-05-31
25,False,2020-06-07
48,False,2020-06-14
60,False,2020-06-21
69,False,2020-06-28
50,False,2020-07-05
40,False,2020-07-12
70,False,2020-07-19
31,False,2020-07-26
39,False,2020-08-02
75,False,2020-08-09
49,False,2020-08-16
44,False,2020-08-23
58,False,2020-08-30
