suicide support,isPartial,date
0,False,2019-09-22
29,False,2019-09-29
28,False,2019-10-06
0,False,2019-10-13
29,False,2019-10-20
0,False,2019-10-27
56,False,2019-11-03
28,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
28,False,2019-12-08
56,False,2019-12-15
0,False,2019-12-22
28,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
39,False,2020-02-02
26,False,2020-02-09
100,False,2020-02-16
25,False,2020-02-23
25,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
25,False,2020-03-22
0,False,2020-03-29
24,False,2020-04-05
23,False,2020-04-12
0,False,2020-04-19
24,False,2020-04-26
24,False,2020-05-03
0,False,2020-05-10
24,False,2020-05-17
37,False,2020-05-24
0,False,2020-05-31
48,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
27,False,2020-07-05
26,False,2020-07-12
27,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
27,False,2020-08-09
27,False,2020-08-16
26,False,2020-08-23
0,False,2020-08-30
52,False,2020-09-06
58,True,2020-09-13
