suicide prevention,isPartial,date
84,False,2019-09-08
32,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
32,False,2019-10-06
34,False,2019-10-13
0,False,2019-10-20
63,False,2019-10-27
32,False,2019-11-03
0,False,2019-11-10
32,False,2019-11-17
0,False,2019-11-24
32,False,2019-12-01
33,False,2019-12-08
34,False,2019-12-15
38,False,2019-12-22
34,False,2019-12-29
0,False,2020-01-05
31,False,2020-01-12
67,False,2020-01-19
0,False,2020-01-26
62,False,2020-02-02
0,False,2020-02-09
33,False,2020-02-16
0,False,2020-02-23
60,False,2020-03-01
45,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
53,False,2020-04-05
26,False,2020-04-12
27,False,2020-04-19
26,False,2020-04-26
26,False,2020-05-03
27,False,2020-05-10
0,False,2020-05-17
55,False,2020-05-24
27,False,2020-05-31
27,False,2020-06-07
29,False,2020-06-14
57,False,2020-06-21
28,False,2020-06-28
28,False,2020-07-05
28,False,2020-07-12
29,False,2020-07-19
56,False,2020-07-26
57,False,2020-08-02
0,False,2020-08-09
28,False,2020-08-16
27,False,2020-08-23
100,True,2020-08-30
