suicide intervention,isPartial,date
47,False,2019-09-08
47,False,2019-09-15
72,False,2019-09-22
96,False,2019-09-29
48,False,2019-10-06
72,False,2019-10-13
39,False,2019-10-20
59,False,2019-10-27
63,False,2019-11-03
54,False,2019-11-10
39,False,2019-11-17
57,False,2019-11-24
38,False,2019-12-01
54,False,2019-12-08
60,False,2019-12-15
45,False,2019-12-22
74,False,2019-12-29
31,False,2020-01-05
36,False,2020-01-12
54,False,2020-01-19
82,False,2020-01-26
52,False,2020-02-02
30,False,2020-02-09
44,False,2020-02-16
36,False,2020-02-23
72,False,2020-03-01
85,False,2020-03-08
75,False,2020-03-15
55,False,2020-03-22
53,False,2020-03-29
62,False,2020-04-05
79,False,2020-04-12
65,False,2020-04-19
86,False,2020-04-26
79,False,2020-05-03
68,False,2020-05-10
48,False,2020-05-17
32,False,2020-05-24
41,False,2020-05-31
55,False,2020-06-07
57,False,2020-06-14
66,False,2020-06-21
45,False,2020-06-28
59,False,2020-07-05
100,False,2020-07-12
56,False,2020-07-19
83,False,2020-07-26
83,False,2020-08-02
67,False,2020-08-09
58,False,2020-08-16
42,False,2020-08-23
77,True,2020-08-30
