value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/018l35&date=today+12-m&geo=US,/m/018l35,Pharmaceutical drug,Topic
96,96,True,/trends/explore?q=/m/0k_9&date=today+12-m&geo=US,/m/0k_9,Anxiety,Emotional disorder
71,71,True,/trends/explore?q=/m/0ftsr&date=today+12-m&geo=US,/m/0ftsr,Anxiety disorder,Mental disorder
11,11,True,/trends/explore?q=/m/011vz&date=today+12-m&geo=US,/m/011vz,Anxiolytic,Drug category
10,10,True,/trends/explore?q=/m/03f_cb&date=today+12-m&geo=US,/m/03f_cb,Depression,Mood
7,7,True,/trends/explore?q=/m/027x3&date=today+12-m&geo=US,/m/027x3,Disease,Topic
7,7,True,/trends/explore?q=/m/03c1dkx&date=today+12-m&geo=US,/m/03c1dkx,Therapy,Topic
6,6,True,/trends/explore?q=/m/02bft&date=today+12-m&geo=US,/m/02bft,Major depressive disorder,Mental disorder
5,5,True,/trends/explore?q=/m/0119nml8&date=today+12-m&geo=US,/m/0119nml8,Side effect,Topic
5,5,True,/trends/explore?q=/m/01b86_&date=today+12-m&geo=US,/m/01b86_,Over-the-counter drug,Drug legal status
4,4,True,/trends/explore?q=/m/0g88b&date=today+12-m&geo=US,/m/0g88b,Panic attack,Physical disorder
4,4,True,/trends/explore?q=/m/0136_g&date=today+12-m&geo=US,/m/0136_g,Sertraline,Medication
4,4,True,/trends/explore?q=/m/0z0q&date=today+12-m&geo=US,/m/0z0q,Antidepressant,Drug type
4,4,True,/trends/explore?q=/m/01k9cw&date=today+12-m&geo=US,/m/01k9cw,Alprazolam,Topic
4,4,True,/trends/explore?q=/m/0j276x9&date=today+12-m&geo=US,/m/0j276x9,Cause,Topic
4,4,True,/trends/explore?q=/m/01clpj&date=today+12-m&geo=US,/m/01clpj,Escitalopram,Medication
4,4,True,/trends/explore?q=/m/04sh3&date=today+12-m&geo=US,/m/04sh3,Medicine,Topic
3,3,True,/trends/explore?q=/m/01s92x&date=today+12-m&geo=US,/m/01s92x,Medical prescription,Topic
3,3,True,/trends/explore?q=/m/01t09s&date=today+12-m&geo=US,/m/01t09s,Panic,Topic
3,3,True,/trends/explore?q=/m/03h4bl&date=today+12-m&geo=US,/m/03h4bl,Buspirone,Medication
3,3,True,/trends/explore?q=/m/0h99n&date=today+12-m&geo=US,/m/0h99n,Attention deficit hyperactivity disorder,Disorder
3,3,True,/trends/explore?q=/m/01qfr1&date=today+12-m&geo=US,/m/01qfr1,Social,Topic
3,3,True,/trends/explore?q=/m/0d0g5&date=today+12-m&geo=US,/m/0d0g5,Social anxiety disorder,Disorder
3,3,True,/trends/explore?q=/m/06xzh&date=today+12-m&geo=US,/m/06xzh,Sleep,Topic
2,2,True,/trends/explore?q=/m/0bqx0&date=today+12-m&geo=US,/m/0bqx0,Fluoxetine,Topic
