value,formattedValue,link,topic_mid,topic_title,topic_type
1750,"+1,750%",/trends/explore?q=/m/02pphw&date=today+12-m&geo=US,/m/02pphw,Settlement,Topic
400,+400%,/trends/explore?q=/m/010678wf&date=today+12-m&geo=US,/m/010678wf,Johnson & Johnson Inc,Company
250,+250%,/trends/explore?q=/m/0168nq&date=today+12-m&geo=US,/m/0168nq,Johnson & Johnson,Medical device company
150,+150%,/trends/explore?q=/m/0fmqk&date=today+12-m&geo=US,/m/0fmqk,Anesthesia,Topic
140,+140%,/trends/explore?q=/m/03190p&date=today+12-m&geo=US,/m/03190p,Client,Computing
120,+120%,/trends/explore?q=/m/033bhl&date=today+12-m&geo=US,/m/033bhl,Continuing education,School category
120,+120%,/trends/explore?q=/m/092x18&date=today+12-m&geo=US,/m/092x18,Trial,Topic
110,+110%,/trends/explore?q=/m/01t8w5&date=today+12-m&geo=US,/m/01t8w5,Substance Abuse and Mental Health Services Administration,Topic
100,+100%,/trends/explore?q=/m/0hk26&date=today+12-m&geo=US,/m/0hk26,Stimulant,Drug type
100,+100%,/trends/explore?q=/m/05jqy&date=today+12-m&geo=US,/m/05jqy,Nonsteroidal anti-inflammatory drug,Drug class
90,+90%,/trends/explore?q=/m/02634np&date=today+12-m&geo=US,/m/02634np,Purdue Pharma,Pharmaceutical company
70,+70%,/trends/explore?q=/m/02pydql&date=today+12-m&geo=US,/m/02pydql,μ-opioid receptor,Protein
70,+70%,/trends/explore?q=/m/02q3wl&date=today+12-m&geo=US,/m/02q3wl,Pharmaceutical industry,Topic
60,+60%,/trends/explore?q=/m/018c_8&date=today+12-m&geo=US,/m/018c_8,Intravenous therapy,Topic
50,+50%,/trends/explore?q=/m/03z_m7&date=today+12-m&geo=US,/m/03z_m7,Hyperalgesia,Sickness
50,+50%,/trends/explore?q=/m/01b4_q&date=today+12-m&geo=US,/m/01b4_q,Mortality rate,Topic
50,+50%,/trends/explore?q=/m/0256b&date=today+12-m&geo=US,/m/0256b,Cocaine,Drug
50,+50%,/trends/explore?q=/m/03krfl&date=today+12-m&geo=US,/m/03krfl,Kratom,Plants
