value,formattedValue,link,topic_mid,topic_title,topic_type
350,+350%,/trends/explore?q=/m/033mg5&date=today+12-m&geo=US,/m/033mg5,Dizziness,Medical condition
300,+300%,/trends/explore?q=/m/06z3km&date=today+12-m&geo=US,/m/06z3km,Ashwagandha,Plants
200,+200%,/trends/explore?q=/g/155pjm37&date=today+12-m&geo=US,/g/155pjm37,Medical diagnosis,Topic
200,+200%,/trends/explore?q=/m/01pxjm&date=today+12-m&geo=US,/m/01pxjm,Melatonin,Hormone
190,+190%,/trends/explore?q=/m/02v58l&date=today+12-m&geo=US,/m/02v58l,Stage fright,Topic
160,+160%,/trends/explore?q=/m/02wz170&date=today+12-m&geo=US,/m/02wz170,Antihistamine,Drug class
160,+160%,/trends/explore?q=/m/02fvfb&date=today+12-m&geo=US,/m/02fvfb,Gabapentin,Medication
140,+140%,/trends/explore?q=/m/01k84j&date=today+12-m&geo=US,/m/01k84j,Separation anxiety disorder,Disorder
120,+120%,/trends/explore?q=/m/09klv&date=today+12-m&geo=US,/m/09klv,Dementia,Disease
110,+110%,/trends/explore?q=/m/07dnd&date=today+12-m&geo=US,/m/07dnd,Thyroid,Topic
110,+110%,/trends/explore?q=/m/0tnw&date=today+12-m&geo=US,/m/0tnw,Alternative medicine,Medical specialty
100,+100%,/trends/explore?q=/m/011wd&date=today+12-m&geo=US,/m/011wd,Antipsychotic,Class of drugs
90,+90%,/trends/explore?q=/m/0jgxn&date=today+12-m&geo=US,/m/0jgxn,Psychologist,Occupation
80,+80%,/trends/explore?q=/m/03ngg&date=today+12-m&geo=US,/m/03ngg,Human sexuality,Topic
80,+80%,/trends/explore?q=/m/029ggh&date=today+12-m&geo=US,/m/029ggh,Palpitations,Topic
80,+80%,/trends/explore?q=/g/12353jx8&date=today+12-m&geo=US,/g/12353jx8,Performance,Topic
