value,formattedValue,hasData,link,topic_mid,topic_title,topic_type
100,100,True,/trends/explore?q=/m/027x3&date=today+12-m&geo=US,/m/027x3,Disease,Topic
17,17,True,/trends/explore?q=/m/0j7j8p4&date=today+12-m&geo=US,/m/0j7j8p4,Personality,Topic
12,12,True,/trends/explore?q=/m/01g2q&date=today+12-m&geo=US,/m/01g2q,Bipolar disorder,Mental disorder
8,8,True,/trends/explore?q=/m/0134rc&date=today+12-m&geo=US,/m/0134rc,Borderline personality disorder,Disorder
8,8,True,/trends/explore?q=/m/01f5gx&date=today+12-m&geo=US,/m/01f5gx,Eating,Topic
6,6,True,/trends/explore?q=/m/0fnyw&date=today+12-m&geo=US,/m/0fnyw,Eating disorder,Mental disorder
6,6,True,/trends/explore?q=/m/03c1dkx&date=today+12-m&geo=US,/m/03c1dkx,Therapy,Topic
6,6,True,/trends/explore?q=/m/01b_06&date=today+12-m&geo=US,/m/01b_06,Symptom,Topic
5,5,True,/trends/explore?q=/m/01c896&date=today+12-m&geo=US,/m/01c896,Personality disorder,Mental disorder
4,4,True,/trends/explore?q=/m/0ftsr&date=today+12-m&geo=US,/m/0ftsr,Anxiety disorder,Mental disorder
4,4,True,/trends/explore?q=/m/09wnd&date=today+12-m&geo=US,/m/09wnd,Dissociative identity disorder,Mental disorder
4,4,True,/trends/explore?q=/m/04x4r&date=today+12-m&geo=US,/m/04x4r,Mental disorder,Mental disorder
4,4,True,/trends/explore?q=/m/025rwrz&date=today+12-m&geo=US,/m/025rwrz,ICD-10,Topic
4,4,True,/trends/explore?q=/m/02bft&date=today+12-m&geo=US,/m/02bft,Major depressive disorder,Mental disorder
3,3,True,/trends/explore?q=/m/0k_9&date=today+12-m&geo=US,/m/0k_9,Anxiety,Emotional disorder
3,3,True,/trends/explore?q=/m/03x69g&date=today+12-m&geo=US,/m/03x69g,Mental health,Topic
3,3,True,/trends/explore?q=/m/03zlr&date=today+12-m&geo=US,/m/03zlr,International Classification of Diseases,Topic
3,3,True,/trends/explore?q=/m/019jq7&date=today+12-m&geo=US,/m/019jq7,Narcissistic personality disorder,Disorder
3,3,True,/trends/explore?q=/m/02l_0n&date=today+12-m&geo=US,/m/02l_0n,Dissociation,Topic
3,3,True,/trends/explore?q=/m/09gqb6w&date=today+12-m&geo=US,/m/09gqb6w,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",Book by American Psychiatric Association
2,2,True,/trends/explore?q=/m/03f_cb&date=today+12-m&geo=US,/m/03f_cb,Depression,Mood
2,2,True,/trends/explore?q=/m/0h99n&date=today+12-m&geo=US,/m/0h99n,Attention deficit hyperactivity disorder,Disorder
2,2,True,/trends/explore?q=/m/0f6gy&date=today+12-m&geo=US,/m/0f6gy,Obsessive–compulsive disorder,Mental disorder
2,2,True,/trends/explore?q=/m/018l35&date=today+12-m&geo=US,/m/018l35,Pharmaceutical drug,Topic
2,2,True,/trends/explore?q=/m/0l8bg&date=today+12-m&geo=US,/m/0l8bg,Post-traumatic stress disorder,Mental disorder
