major depressive disorder,isPartial,date
63,False,2019-08-11
60,False,2019-08-18
57,False,2019-08-25
59,False,2019-09-01
71,False,2019-09-08
76,False,2019-09-15
75,False,2019-09-22
71,False,2019-09-29
73,False,2019-10-06
77,False,2019-10-13
86,False,2019-10-20
86,False,2019-10-27
86,False,2019-11-03
97,False,2019-11-10
77,False,2019-11-17
67,False,2019-11-24
94,False,2019-12-01
93,False,2019-12-08
73,False,2019-12-15
42,False,2019-12-22
58,False,2019-12-29
64,False,2020-01-05
64,False,2020-01-12
64,False,2020-01-19
69,False,2020-01-26
82,False,2020-02-02
79,False,2020-02-09
89,False,2020-02-16
100,False,2020-02-23
94,False,2020-03-01
75,False,2020-03-08
66,False,2020-03-15
59,False,2020-03-22
68,False,2020-03-29
65,False,2020-04-05
69,False,2020-04-12
80,False,2020-04-19
89,False,2020-04-26
80,False,2020-05-03
70,False,2020-05-10
65,False,2020-05-17
59,False,2020-05-24
60,False,2020-05-31
68,False,2020-06-07
64,False,2020-06-14
64,False,2020-06-21
62,False,2020-06-28
62,False,2020-07-05
61,False,2020-07-12
72,False,2020-07-19
71,False,2020-07-26
81,True,2020-08-02
