dsm 5,isPartial,date
58,False,2019-08-11
59,False,2019-08-18
67,False,2019-08-25
69,False,2019-09-01
84,False,2019-09-08
72,False,2019-09-15
71,False,2019-09-22
81,False,2019-09-29
80,False,2019-10-06
89,False,2019-10-13
82,False,2019-10-20
79,False,2019-10-27
85,False,2019-11-03
82,False,2019-11-10
89,False,2019-11-17
68,False,2019-11-24
100,False,2019-12-01
86,False,2019-12-08
67,False,2019-12-15
41,False,2019-12-22
39,False,2019-12-29
59,False,2020-01-05
59,False,2020-01-12
74,False,2020-01-19
75,False,2020-01-26
80,False,2020-02-02
80,False,2020-02-09
82,False,2020-02-16
90,False,2020-02-23
84,False,2020-03-01
67,False,2020-03-08
51,False,2020-03-15
56,False,2020-03-22
64,False,2020-03-29
62,False,2020-04-05
62,False,2020-04-12
65,False,2020-04-19
70,False,2020-04-26
60,False,2020-05-03
58,False,2020-05-10
49,False,2020-05-17
49,False,2020-05-24
52,False,2020-05-31
59,False,2020-06-07
56,False,2020-06-14
55,False,2020-06-21
55,False,2020-06-28
52,False,2020-07-05
65,False,2020-07-12
62,False,2020-07-19
61,False,2020-07-26
53,True,2020-08-02
