bipolar,isPartial,date
55,False,2019-08-11
53,False,2019-08-18
52,False,2019-08-25
53,False,2019-09-01
56,False,2019-09-08
59,False,2019-09-15
60,False,2019-09-22
67,False,2019-09-29
67,False,2019-10-06
68,False,2019-10-13
69,False,2019-10-20
62,False,2019-10-27
66,False,2019-11-03
67,False,2019-11-10
68,False,2019-11-17
55,False,2019-11-24
62,False,2019-12-01
61,False,2019-12-08
59,False,2019-12-15
49,False,2019-12-22
51,False,2019-12-29
58,False,2020-01-05
60,False,2020-01-12
61,False,2020-01-19
58,False,2020-01-26
62,False,2020-02-02
66,False,2020-02-09
65,False,2020-02-16
64,False,2020-02-23
65,False,2020-03-01
56,False,2020-03-08
44,False,2020-03-15
46,False,2020-03-22
61,False,2020-03-29
66,False,2020-04-05
64,False,2020-04-12
60,False,2020-04-19
60,False,2020-04-26
61,False,2020-05-03
60,False,2020-05-10
60,False,2020-05-17
58,False,2020-05-24
51,False,2020-05-31
59,False,2020-06-07
58,False,2020-06-14
59,False,2020-06-21
56,False,2020-06-28
62,False,2020-07-05
58,False,2020-07-12
100,False,2020-07-19
73,False,2020-07-26
68,True,2020-08-02
