eating disorder,isPartial,date
57,False,2019-08-11
56,False,2019-08-18
56,False,2019-08-25
60,False,2019-09-01
54,False,2019-09-08
66,False,2019-09-15
71,False,2019-09-22
68,False,2019-09-29
72,False,2019-10-06
77,False,2019-10-13
76,False,2019-10-20
66,False,2019-10-27
75,False,2019-11-03
73,False,2019-11-10
73,False,2019-11-17
55,False,2019-11-24
73,False,2019-12-01
71,False,2019-12-08
61,False,2019-12-15
52,False,2019-12-22
54,False,2019-12-29
66,False,2020-01-05
65,False,2020-01-12
80,False,2020-01-19
76,False,2020-01-26
82,False,2020-02-02
80,False,2020-02-09
81,False,2020-02-16
100,False,2020-02-23
82,False,2020-03-01
70,False,2020-03-08
52,False,2020-03-15
62,False,2020-03-22
66,False,2020-03-29
71,False,2020-04-05
82,False,2020-04-12
83,False,2020-04-19
89,False,2020-04-26
82,False,2020-05-03
73,False,2020-05-10
77,False,2020-05-17
76,False,2020-05-24
65,False,2020-05-31
74,False,2020-06-07
73,False,2020-06-14
79,False,2020-06-21
74,False,2020-06-28
80,False,2020-07-05
73,False,2020-07-12
78,False,2020-07-19
75,False,2020-07-26
62,True,2020-08-02
