disorder symptoms,isPartial,date
69,False,2019-05-26
65,False,2019-06-02
65,False,2019-06-09
59,False,2019-06-16
62,False,2019-06-23
51,False,2019-06-30
59,False,2019-07-07
65,False,2019-07-14
63,False,2019-07-21
67,False,2019-07-28
60,False,2019-08-04
57,False,2019-08-11
53,False,2019-08-18
58,False,2019-08-25
66,False,2019-09-01
68,False,2019-09-08
70,False,2019-09-15
77,False,2019-09-22
86,False,2019-09-29
79,False,2019-10-06
93,False,2019-10-13
86,False,2019-10-20
84,False,2019-10-27
86,False,2019-11-03
90,False,2019-11-10
97,False,2019-11-17
71,False,2019-11-24
100,False,2019-12-01
95,False,2019-12-08
65,False,2019-12-15
48,False,2019-12-22
56,False,2019-12-29
67,False,2020-01-05
77,False,2020-01-12
76,False,2020-01-19
72,False,2020-01-26
77,False,2020-02-02
83,False,2020-02-09
80,False,2020-02-16
88,False,2020-02-23
90,False,2020-03-01
79,False,2020-03-08
60,False,2020-03-15
66,False,2020-03-22
81,False,2020-03-29
83,False,2020-04-05
86,False,2020-04-12
94,False,2020-04-19
93,False,2020-04-26
99,False,2020-05-03
81,False,2020-05-10
73,True,2020-05-17
