dissociative identity disorder,isPartial,date
56,False,2019-08-11
54,False,2019-08-18
62,False,2019-08-25
51,False,2019-09-01
45,False,2019-09-08
46,False,2019-09-15
66,False,2019-09-22
58,False,2019-09-29
80,False,2019-10-06
67,False,2019-10-13
72,False,2019-10-20
78,False,2019-10-27
64,False,2019-11-03
71,False,2019-11-10
84,False,2019-11-17
73,False,2019-11-24
100,False,2019-12-01
80,False,2019-12-08
59,False,2019-12-15
59,False,2019-12-22
49,False,2019-12-29
55,False,2020-01-05
55,False,2020-01-12
62,False,2020-01-19
60,False,2020-01-26
52,False,2020-02-02
67,False,2020-02-09
76,False,2020-02-16
77,False,2020-02-23
99,False,2020-03-01
88,False,2020-03-08
74,False,2020-03-15
86,False,2020-03-22
76,False,2020-03-29
82,False,2020-04-05
82,False,2020-04-12
93,False,2020-04-19
87,False,2020-04-26
84,False,2020-05-03
74,False,2020-05-10
56,False,2020-05-17
60,False,2020-05-24
50,False,2020-05-31
58,False,2020-06-07
69,False,2020-06-14
64,False,2020-06-21
63,False,2020-06-28
65,False,2020-07-05
59,False,2020-07-12
60,False,2020-07-19
60,False,2020-07-26
65,True,2020-08-02
