anxious,isPartial,date
97,False,2019-09-08
59,False,2019-09-15
39,False,2019-09-22
78,False,2019-09-29
79,False,2019-10-06
81,False,2019-10-13
79,False,2019-10-20
77,False,2019-10-27
52,False,2019-11-03
40,False,2019-11-10
79,False,2019-11-17
42,False,2019-11-24
39,False,2019-12-01
81,False,2019-12-08
41,False,2019-12-15
91,False,2019-12-22
41,False,2019-12-29
66,False,2020-01-05
57,False,2020-01-12
54,False,2020-01-19
78,False,2020-01-26
57,False,2020-02-02
77,False,2020-02-09
100,False,2020-02-16
0,False,2020-02-23
55,False,2020-03-01
37,False,2020-03-08
52,False,2020-03-15
50,False,2020-03-22
42,False,2020-03-29
43,False,2020-04-05
63,False,2020-04-12
82,False,2020-04-19
31,False,2020-04-26
95,False,2020-05-03
49,False,2020-05-10
69,False,2020-05-17
90,False,2020-05-24
0,False,2020-05-31
84,False,2020-06-07
70,False,2020-06-14
35,False,2020-06-21
45,False,2020-06-28
34,False,2020-07-05
35,False,2020-07-12
52,False,2020-07-19
34,False,2020-07-26
46,False,2020-08-02
80,False,2020-08-09
69,False,2020-08-16
51,False,2020-08-23
0,True,2020-08-30
