worried,isPartial,date
56,False,2019-08-25
0,False,2019-09-01
32,False,2019-09-08
49,False,2019-09-15
32,False,2019-09-22
33,False,2019-09-29
32,False,2019-10-06
34,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
49,False,2019-11-03
0,False,2019-11-10
32,False,2019-11-17
69,False,2019-11-24
49,False,2019-12-01
33,False,2019-12-08
0,False,2019-12-15
38,False,2019-12-22
51,False,2019-12-29
66,False,2020-01-05
63,False,2020-01-12
0,False,2020-01-19
32,False,2020-01-26
42,False,2020-02-02
32,False,2020-02-09
100,False,2020-02-16
61,False,2020-02-23
61,False,2020-03-01
71,False,2020-03-08
43,False,2020-03-15
63,False,2020-03-22
39,False,2020-03-29
36,False,2020-04-05
39,False,2020-04-12
0,False,2020-04-19
26,False,2020-04-26
26,False,2020-05-03
64,False,2020-05-10
0,False,2020-05-17
43,False,2020-05-24
0,False,2020-05-31
41,False,2020-06-07
30,False,2020-06-14
29,False,2020-06-21
56,False,2020-06-28
28,False,2020-07-05
29,False,2020-07-12
44,False,2020-07-19
28,False,2020-07-26
43,False,2020-08-02
43,False,2020-08-09
65,True,2020-08-16
