worried,isPartial,date
26,False,2019-09-08
20,False,2019-09-15
26,False,2019-09-22
17,False,2019-09-29
27,False,2019-10-06
22,False,2019-10-13
13,False,2019-10-20
17,False,2019-10-27
22,False,2019-11-03
19,False,2019-11-10
13,False,2019-11-17
21,False,2019-11-24
21,False,2019-12-01
13,False,2019-12-08
20,False,2019-12-15
25,False,2019-12-22
28,False,2019-12-29
32,False,2020-01-05
24,False,2020-01-12
0,False,2020-01-19
29,False,2020-01-26
25,False,2020-02-02
29,False,2020-02-09
33,False,2020-02-16
24,False,2020-02-23
32,False,2020-03-01
57,False,2020-03-08
32,False,2020-03-15
23,False,2020-03-22
52,False,2020-03-29
49,False,2020-04-05
21,False,2020-04-12
18,False,2020-04-19
11,False,2020-04-26
29,False,2020-05-03
17,False,2020-05-10
20,False,2020-05-17
12,False,2020-05-24
18,False,2020-05-31
28,False,2020-06-07
25,False,2020-06-14
32,False,2020-06-21
20,False,2020-06-28
41,False,2020-07-05
17,False,2020-07-12
26,False,2020-07-19
27,False,2020-07-26
36,False,2020-08-02
35,False,2020-08-09
33,False,2020-08-16
17,False,2020-08-23
100,True,2020-08-30
