frighten,isPartial,date
69,False,2019-08-25
68,False,2019-09-01
67,False,2019-09-08
66,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
71,False,2019-10-06
68,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
98,False,2019-11-03
0,False,2019-11-10
64,False,2019-11-17
66,False,2019-11-24
65,False,2019-12-01
67,False,2019-12-08
67,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
64,False,2020-01-05
61,False,2020-01-12
63,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
60,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
57,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
56,False,2020-04-12
0,False,2020-04-19
55,False,2020-04-26
0,False,2020-05-03
57,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
57,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
0,False,2020-06-28
62,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
58,False,2020-08-09
100,True,2020-08-16
