fearful,isPartial,date
0,False,2019-08-25
56,False,2019-09-01
55,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
54,False,2019-09-29
56,False,2019-10-06
0,False,2019-10-13
54,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
53,False,2019-11-10
53,False,2019-11-17
56,False,2019-11-24
0,False,2019-12-01
54,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
53,False,2020-01-05
99,False,2020-01-12
53,False,2020-01-19
51,False,2020-01-26
100,False,2020-02-02
51,False,2020-02-09
50,False,2020-02-16
49,False,2020-02-23
48,False,2020-03-01
49,False,2020-03-08
73,False,2020-03-15
46,False,2020-03-22
69,False,2020-03-29
70,False,2020-04-05
69,False,2020-04-12
88,False,2020-04-19
45,False,2020-04-26
91,False,2020-05-03
47,False,2020-05-10
45,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
47,False,2020-06-14
49,False,2020-06-21
0,False,2020-06-28
50,False,2020-07-05
51,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
0,True,2020-08-16
