phobic,isPartial,date
77,False,2019-09-08
51,False,2019-09-15
48,False,2019-09-22
74,False,2019-09-29
56,False,2019-10-06
33,False,2019-10-13
65,False,2019-10-20
88,False,2019-10-27
51,False,2019-11-03
58,False,2019-11-10
32,False,2019-11-17
57,False,2019-11-24
92,False,2019-12-01
68,False,2019-12-08
59,False,2019-12-15
50,False,2019-12-22
46,False,2019-12-29
61,False,2020-01-05
74,False,2020-01-12
61,False,2020-01-19
55,False,2020-01-26
52,False,2020-02-02
73,False,2020-02-09
69,False,2020-02-16
74,False,2020-02-23
80,False,2020-03-01
69,False,2020-03-08
88,False,2020-03-15
57,False,2020-03-22
71,False,2020-03-29
51,False,2020-04-05
52,False,2020-04-12
64,False,2020-04-19
61,False,2020-04-26
73,False,2020-05-03
92,False,2020-05-10
57,False,2020-05-17
52,False,2020-05-24
63,False,2020-05-31
100,False,2020-06-07
47,False,2020-06-14
54,False,2020-06-21
70,False,2020-06-28
65,False,2020-07-05
34,False,2020-07-12
56,False,2020-07-19
42,False,2020-07-26
84,False,2020-08-02
73,False,2020-08-09
77,False,2020-08-16
66,False,2020-08-23
49,True,2020-08-30
