phobic,isPartial,date
37,False,2019-09-08
74,False,2019-09-15
37,False,2019-09-22
37,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
54,False,2019-10-20
36,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
36,False,2019-11-17
38,False,2019-11-24
0,False,2019-12-01
36,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
33,False,2020-01-12
51,False,2020-01-19
33,False,2020-01-26
33,False,2020-02-02
33,False,2020-02-09
32,False,2020-02-16
32,False,2020-02-23
32,False,2020-03-01
93,False,2020-03-08
32,False,2020-03-15
32,False,2020-03-22
30,False,2020-03-29
91,False,2020-04-05
30,False,2020-04-12
29,False,2020-04-19
46,False,2020-04-26
61,False,2020-05-03
31,False,2020-05-10
30,False,2020-05-17
0,False,2020-05-24
31,False,2020-05-31
31,False,2020-06-07
64,False,2020-06-14
0,False,2020-06-21
100,False,2020-06-28
51,False,2020-07-05
0,False,2020-07-12
34,False,2020-07-19
34,False,2020-07-26
0,False,2020-08-02
69,False,2020-08-09
34,False,2020-08-16
49,False,2020-08-23
0,True,2020-08-30
