Category: All categories

Day,dread: (United States)
2019-09-12,74
2019-09-13,67
2019-09-14,69
2019-09-15,63
2019-09-16,73
2019-09-17,67
2019-09-18,72
2019-09-19,55
2019-09-20,52
2019-09-21,73
2019-09-22,90
2019-09-23,63
2019-09-24,63
2019-09-25,72
2019-09-26,73
2019-09-27,70
2019-09-28,69
2019-09-29,88
2019-09-30,72
2019-10-01,67
2019-10-02,69
2019-10-03,65
2019-10-04,85
2019-10-05,69
2019-10-06,55
2019-10-07,68
2019-10-08,61
2019-10-09,61
2019-10-10,61
2019-10-11,80
2019-10-12,100
2019-10-13,69
2019-10-14,65
2019-10-15,73
2019-10-16,59
2019-10-17,78
2019-10-18,74
2019-10-19,91
2019-10-20,89
2019-10-21,74
2019-10-22,63
2019-10-23,79
2019-10-24,81
2019-10-25,82
2019-10-26,95
2019-10-27,68
2019-10-28,63
2019-10-29,84
2019-10-30,88
2019-10-31,82
2019-11-01,86
2019-11-02,76
2019-11-03,49
2019-11-04,83
2019-11-05,76
2019-11-06,73
2019-11-07,65
2019-11-08,69
2019-11-09,71
2019-11-10,69
2019-11-11,71
2019-11-12,53
2019-11-13,63
2019-11-14,64
2019-11-15,82
2019-11-16,81
2019-11-17,59
2019-11-18,72
2019-11-19,55
2019-11-20,74
2019-11-21,75
2019-11-22,92
2019-11-23,62
2019-11-24,63
2019-11-25,51
2019-11-26,73
2019-11-27,68
2019-11-28,69
2019-11-29,55
2019-11-30,72
2019-12-01,68
2019-12-02,59
2019-12-03,67
2019-12-04,62
2019-12-05,63
2019-12-06,64
2019-12-07,57
2019-12-08,80
2019-12-09,69
2019-12-10,59
2019-12-11,70
2019-12-12,60
2019-12-13,67
2019-12-14,69
2019-12-15,64
2019-12-16,45
2019-12-17,69
2019-12-18,60
2019-12-19,68
2019-12-20,62
2019-12-21,87
2019-12-22,63
2019-12-23,61
2019-12-24,87
2019-12-25,75
2019-12-26,51
2019-12-27,62
2019-12-28,92
2019-12-29,73
2019-12-30,73
2019-12-31,59
2020-01-01,80
2020-01-02,63
2020-01-03,64
2020-01-04,68
2020-01-05,70
2020-01-06,58
2020-01-07,53
2020-01-08,60
2020-01-09,50
2020-01-10,51
2020-01-11,79
2020-01-12,60
2020-01-13,54
2020-01-14,68
2020-01-15,56
2020-01-16,57
2020-01-17,73
2020-01-18,96
2020-01-19,71
2020-01-20,78
2020-01-21,71
2020-01-22,68
2020-01-23,53
2020-01-24,80
2020-01-25,66
2020-01-26,78
2020-01-27,47
2020-01-28,74
2020-01-29,67
2020-01-30,75
2020-01-31,73
2020-02-01,57
2020-02-02,62
2020-02-03,63
2020-02-04,64
2020-02-05,61
2020-02-06,56
2020-02-07,74
2020-02-08,73
2020-02-09,83
2020-02-10,84
2020-02-11,73
2020-02-12,71
2020-02-13,86
2020-02-14,83
2020-02-15,64
2020-02-16,84
2020-02-17,68
2020-02-18,61
2020-02-19,74
2020-02-20,68
2020-02-21,68
2020-02-22,62
2020-02-23,70
2020-02-24,70
2020-02-25,67
2020-02-26,66
2020-02-27,70
2020-02-28,55
2020-02-29,79
2020-03-01,71
2020-03-02,55
2020-03-03,75
2020-03-04,43
2020-03-05,77
2020-03-06,66
2020-03-07,66
2020-03-08,78
2020-03-09,69
2020-03-10,66
2020-03-11,96
2020-03-12,52
2020-03-13,72
2020-03-14,63
2020-03-15,61
2020-03-16,56
2020-03-17,65
2020-03-18,69
2020-03-19,61
2020-03-20,61
2020-03-21,82
2020-03-22,73
2020-03-23,63
2020-03-24,70
2020-03-25,60
2020-03-26,65
2020-03-27,80
2020-03-28,90
2020-03-29,65
2020-03-30,74
2020-03-31,64
2020-04-01,52
2020-04-02,72
2020-04-03,76
2020-04-04,64
2020-04-05,74
2020-04-06,61
2020-04-07,67
2020-04-08,59
2020-04-09,77
2020-04-10,70
2020-04-11,73
2020-04-12,58
2020-04-13,76
2020-04-14,72
2020-04-15,69
2020-04-16,60
2020-04-17,55
2020-04-18,87
2020-04-19,79
2020-04-20,75
2020-04-21,72
2020-04-22,73
2020-04-23,57
2020-04-24,81
2020-04-25,78
2020-04-26,61
2020-04-27,91
2020-04-28,87
2020-04-29,80
2020-04-30,64
2020-05-01,73
2020-05-02,69
2020-05-03,75
2020-05-04,86
2020-05-05,79
2020-05-06,80
2020-05-07,71
2020-05-08,77
