Category: All categories

Day,headache: (United States)
2019-09-12,55
2019-09-13,53
2019-09-14,56
2019-09-15,58
2019-09-16,63
2019-09-17,56
2019-09-18,59
2019-09-19,54
2019-09-20,57
2019-09-21,58
2019-09-22,56
2019-09-23,61
2019-09-24,58
2019-09-25,61
2019-09-26,58
2019-09-27,56
2019-09-28,60
2019-09-29,58
2019-09-30,59
2019-10-01,62
2019-10-02,60
2019-10-03,61
2019-10-04,50
2019-10-05,58
2019-10-06,65
2019-10-07,63
2019-10-08,59
2019-10-09,60
2019-10-10,57
2019-10-11,53
2019-10-12,54
2019-10-13,63
2019-10-14,61
2019-10-15,57
2019-10-16,59
2019-10-17,58
2019-10-18,54
2019-10-19,56
2019-10-20,61
2019-10-21,60
2019-10-22,59
2019-10-23,57
2019-10-24,62
2019-10-25,58
2019-10-26,51
2019-10-27,60
2019-10-28,60
2019-10-29,56
2019-10-30,55
2019-10-31,55
2019-11-01,49
2019-11-02,56
2019-11-03,60
2019-11-04,62
2019-11-05,60
2019-11-06,59
2019-11-07,58
2019-11-08,54
2019-11-09,56
2019-11-10,62
2019-11-11,59
2019-11-12,59
2019-11-13,60
2019-11-14,57
2019-11-15,59
2019-11-16,59
2019-11-17,55
2019-11-18,65
2019-11-19,63
2019-11-20,62
2019-11-21,65
2019-11-22,59
2019-11-23,61
2019-11-24,60
2019-11-25,58
2019-11-26,60
2019-11-27,60
2019-11-28,51
2019-11-29,51
2019-11-30,53
2019-12-01,54
2019-12-02,54
2019-12-03,60
2019-12-04,60
2019-12-05,68
2019-12-06,55
2019-12-07,62
2019-12-08,58
2019-12-09,59
2019-12-10,58
2019-12-11,57
2019-12-12,61
2019-12-13,57
2019-12-14,63
2019-12-15,62
2019-12-16,55
2019-12-17,59
2019-12-18,54
2019-12-19,58
2019-12-20,57
2019-12-21,63
2019-12-22,67
2019-12-23,58
2019-12-24,60
2019-12-25,57
2019-12-26,69
2019-12-27,65
2019-12-28,71
2019-12-29,71
2019-12-30,65
2019-12-31,66
2020-01-01,71
2020-01-02,70
2020-01-03,73
2020-01-04,70
2020-01-05,75
2020-01-06,66
2020-01-07,74
2020-01-08,67
2020-01-09,65
2020-01-10,58
2020-01-11,66
2020-01-12,64
2020-01-13,67
2020-01-14,66
2020-01-15,64
2020-01-16,59
2020-01-17,58
2020-01-18,65
2020-01-19,64
2020-01-20,60
2020-01-21,64
2020-01-22,71
2020-01-23,65
2020-01-24,65
2020-01-25,70
2020-01-26,64
2020-01-27,66
2020-01-28,70
2020-01-29,68
2020-01-30,67
2020-01-31,71
2020-02-01,64
2020-02-02,68
2020-02-03,61
2020-02-04,70
2020-02-05,59
2020-02-06,64
2020-02-07,62
2020-02-08,62
2020-02-09,66
2020-02-10,65
2020-02-11,67
2020-02-12,64
2020-02-13,66
2020-02-14,62
2020-02-15,61
2020-02-16,66
2020-02-17,68
2020-02-18,63
2020-02-19,70
2020-02-20,64
2020-02-21,61
2020-02-22,64
2020-02-23,62
2020-02-24,61
2020-02-25,69
2020-02-26,63
2020-02-27,61
2020-02-28,57
2020-02-29,64
2020-03-01,67
2020-03-02,64
2020-03-03,68
2020-03-04,64
2020-03-05,64
2020-03-06,65
2020-03-07,63
2020-03-08,62
2020-03-09,65
2020-03-10,68
2020-03-11,71
2020-03-12,72
2020-03-13,75
2020-03-14,88
2020-03-15,90
2020-03-16,85
2020-03-17,86
2020-03-18,90
2020-03-19,96
2020-03-20,86
2020-03-21,93
2020-03-22,92
2020-03-23,90
2020-03-24,96
2020-03-25,93
2020-03-26,89
2020-03-27,90
2020-03-28,98
2020-03-29,100
2020-03-30,88
2020-03-31,90
2020-04-01,94
2020-04-02,88
2020-04-03,88
2020-04-04,92
2020-04-05,92
2020-04-06,88
2020-04-07,85
2020-04-08,82
2020-04-09,78
2020-04-10,74
2020-04-11,86
2020-04-12,81
2020-04-13,73
2020-04-14,71
2020-04-15,73
2020-04-16,71
2020-04-17,71
2020-04-18,77
2020-04-19,77
2020-04-20,69
2020-04-21,71
2020-04-22,71
2020-04-23,70
2020-04-24,72
2020-04-25,72
2020-04-26,76
2020-04-27,70
2020-04-28,71
2020-04-29,66
2020-04-30,66
2020-05-01,67
2020-05-02,74
2020-05-03,75
2020-05-04,66
2020-05-05,59
2020-05-06,61
2020-05-07,62
2020-05-08,64
