Category: All categories

Day,muscle tension: (United States)
2019-09-12,84
2019-09-13,26
2019-09-14,63
2019-09-15,52
2019-09-16,70
2019-09-17,64
2019-09-18,25
2019-09-19,72
2019-09-20,39
2019-09-21,54
2019-09-22,53
2019-09-23,50
2019-09-24,39
2019-09-25,32
2019-09-26,86
2019-09-27,40
2019-09-28,32
2019-09-29,31
2019-09-30,39
2019-10-01,71
2019-10-02,38
2019-10-03,65
2019-10-04,54
2019-10-05,16
2019-10-06,46
2019-10-07,65
2019-10-08,86
2019-10-09,60
2019-10-10,26
2019-10-11,100
2019-10-12,56
2019-10-13,23
2019-10-14,66
2019-10-15,65
2019-10-16,46
2019-10-17,72
2019-10-18,20
2019-10-19,70
2019-10-20,38
2019-10-21,38
2019-10-22,99
2019-10-23,96
2019-10-24,77
2019-10-25,60
2019-10-26,49
2019-10-27,38
2019-10-28,94
2019-10-29,84
2019-10-30,45
2019-10-31,72
2019-11-01,62
2019-11-02,47
2019-11-03,30
2019-11-04,65
2019-11-05,51
2019-11-06,89
2019-11-07,89
2019-11-08,52
2019-11-09,23
2019-11-10,22
2019-11-11,45
2019-11-12,56
2019-11-13,50
2019-11-14,70
2019-11-15,70
2019-11-16,52
2019-11-17,22
2019-11-18,38
2019-11-19,89
2019-11-20,98
2019-11-21,52
2019-11-22,59
2019-11-23,45
2019-11-24,30
2019-11-25,59
2019-11-26,40
2019-11-27,34
2019-11-28,59
2019-11-29,42
2019-11-30,29
2019-12-01,43
2019-12-02,36
2019-12-03,25
2019-12-04,70
2019-12-05,38
2019-12-06,45
2019-12-07,30
2019-12-08,52
2019-12-09,52
2019-12-10,26
2019-12-11,89
2019-12-12,58
2019-12-13,39
2019-12-14,45
2019-12-15,38
2019-12-16,58
2019-12-17,32
2019-12-18,26
2019-12-19,53
2019-12-20,35
2019-12-21,0
2019-12-22,31
2019-12-23,43
2019-12-24,23
2019-12-25,44
2019-12-26,60
2019-12-27,21
2019-12-28,31
2019-12-29,37
2019-12-30,48
2019-12-31,29
2020-01-01,31
2020-01-02,40
2020-01-03,46
2020-01-04,29
2020-01-05,36
2020-01-06,39
2020-01-07,32
2020-01-08,45
2020-01-09,58
2020-01-10,76
2020-01-11,29
2020-01-12,64
2020-01-13,58
2020-01-14,33
2020-01-15,42
2020-01-16,49
2020-01-17,51
2020-01-18,44
2020-01-19,28
2020-01-20,46
2020-01-21,31
2020-01-22,63
2020-01-23,50
2020-01-24,25
2020-01-25,37
2020-01-26,40
2020-01-27,59
2020-01-28,37
2020-01-29,69
2020-01-30,51
2020-01-31,25
2020-02-01,15
2020-02-02,43
2020-02-03,40
2020-02-04,37
2020-02-05,62
2020-02-06,49
2020-02-07,76
2020-02-08,58
2020-02-09,44
2020-02-10,78
2020-02-11,42
2020-02-12,30
2020-02-13,50
2020-02-14,32
2020-02-15,36
2020-02-16,51
2020-02-17,58
2020-02-18,53
2020-02-19,48
2020-02-20,60
2020-02-21,55
2020-02-22,70
2020-02-23,21
2020-02-24,89
2020-02-25,95
2020-02-26,58
2020-02-27,59
2020-02-28,24
2020-02-29,35
2020-03-01,77
2020-03-02,47
2020-03-03,58
2020-03-04,69
2020-03-05,47
2020-03-06,78
2020-03-07,49
2020-03-08,98
2020-03-09,24
2020-03-10,59
2020-03-11,41
2020-03-12,34
2020-03-13,35
2020-03-14,42
2020-03-15,34
2020-03-16,47
2020-03-17,41
2020-03-18,41
2020-03-19,47
2020-03-20,34
2020-03-21,26
2020-03-22,26
2020-03-23,49
2020-03-24,58
2020-03-25,47
2020-03-26,42
2020-03-27,72
2020-03-28,39
2020-03-29,52
2020-03-30,72
2020-03-31,72
2020-04-01,94
2020-04-02,73
2020-04-03,40
2020-04-04,44
2020-04-05,64
2020-04-06,39
2020-04-07,51
2020-04-08,39
2020-04-09,45
2020-04-10,99
2020-04-11,39
2020-04-12,39
2020-04-13,39
2020-04-14,44
2020-04-15,58
2020-04-16,65
2020-04-17,70
2020-04-18,56
2020-04-19,44
2020-04-20,38
2020-04-21,60
2020-04-22,66
2020-04-23,80
2020-04-24,64
2020-04-25,43
2020-04-26,57
2020-04-27,49
2020-04-28,77
2020-04-29,43
2020-04-30,62
2020-05-01,44
2020-05-02,45
2020-05-03,13
2020-05-04,76
2020-05-05,72
2020-05-06,55
2020-05-07,78
2020-05-08,72
