Category: All categories

Day,anxiety: (United States)
2019-09-12,85
2019-09-13,80
2019-09-14,78
2019-09-15,79
2019-09-16,89
2019-09-17,97
2019-09-18,94
2019-09-19,92
2019-09-20,83
2019-09-21,70
2019-09-22,76
2019-09-23,97
2019-09-24,92
2019-09-25,96
2019-09-26,87
2019-09-27,77
2019-09-28,78
2019-09-29,81
2019-09-30,95
2019-10-01,91
2019-10-02,94
2019-10-03,94
2019-10-04,82
2019-10-05,68
2019-10-06,76
2019-10-07,93
2019-10-08,95
2019-10-09,93
2019-10-10,91
2019-10-11,82
2019-10-12,69
2019-10-13,79
2019-10-14,97
2019-10-15,95
2019-10-16,97
2019-10-17,90
2019-10-18,85
2019-10-19,72
2019-10-20,79
2019-10-21,97
2019-10-22,95
2019-10-23,96
2019-10-24,88
2019-10-25,82
2019-10-26,77
2019-10-27,80
2019-10-28,93
2019-10-29,95
2019-10-30,88
2019-10-31,82
2019-11-01,80
2019-11-02,72
2019-11-03,75
2019-11-04,94
2019-11-05,91
2019-11-06,91
2019-11-07,91
2019-11-08,81
2019-11-09,67
2019-11-10,73
2019-11-11,84
2019-11-12,90
2019-11-13,94
2019-11-14,92
2019-11-15,84
2019-11-16,72
2019-11-17,81
2019-11-18,100
2019-11-19,100
2019-11-20,100
2019-11-21,92
2019-11-22,84
2019-11-23,74
2019-11-24,76
2019-11-25,88
2019-11-26,89
2019-11-27,84
2019-11-28,66
2019-11-29,59
2019-11-30,66
2019-12-01,74
2019-12-02,87
2019-12-03,91
2019-12-04,87
2019-12-05,93
2019-12-06,81
2019-12-07,73
2019-12-08,80
2019-12-09,90
2019-12-10,91
2019-12-11,88
2019-12-12,88
2019-12-13,77
2019-12-14,79
2019-12-15,75
2019-12-16,83
2019-12-17,86
2019-12-18,81
2019-12-19,74
2019-12-20,68
2019-12-21,67
2019-12-22,73
2019-12-23,72
2019-12-24,61
2019-12-25,61
2019-12-26,69
2019-12-27,70
2019-12-28,69
2019-12-29,69
2019-12-30,84
2019-12-31,77
2020-01-01,73
2020-01-02,85
2020-01-03,81
2020-01-04,81
2020-01-05,74
2020-01-06,92
2020-01-07,91
2020-01-08,85
2020-01-09,86
2020-01-10,85
2020-01-11,77
2020-01-12,77
2020-01-13,96
2020-01-14,91
2020-01-15,93
2020-01-16,87
2020-01-17,85
2020-01-18,74
2020-01-19,76
2020-01-20,83
2020-01-21,98
2020-01-22,91
2020-01-23,96
2020-01-24,87
2020-01-25,83
2020-01-26,73
2020-01-27,85
2020-01-28,93
2020-01-29,96
2020-01-30,92
2020-01-31,85
2020-02-01,77
2020-02-02,81
2020-02-03,91
2020-02-04,92
2020-02-05,85
2020-02-06,86
2020-02-07,82
2020-02-08,77
2020-02-09,81
2020-02-10,96
2020-02-11,96
2020-02-12,90
2020-02-13,91
2020-02-14,82
2020-02-15,77
2020-02-16,83
2020-02-17,91
2020-02-18,91
2020-02-19,97
2020-02-20,99
2020-02-21,88
2020-02-22,78
2020-02-23,79
2020-02-24,98
2020-02-25,93
2020-02-26,96
2020-02-27,91
2020-02-28,87
2020-02-29,77
2020-03-01,76
2020-03-02,89
2020-03-03,92
2020-03-04,85
2020-03-05,91
2020-03-06,87
2020-03-07,76
2020-03-08,78
2020-03-09,86
2020-03-10,87
2020-03-11,83
2020-03-12,79
2020-03-13,73
2020-03-14,70
2020-03-15,69
2020-03-16,81
2020-03-17,76
2020-03-18,78
2020-03-19,81
2020-03-20,77
2020-03-21,82
2020-03-22,81
2020-03-23,89
2020-03-24,90
2020-03-25,90
2020-03-26,88
2020-03-27,84
2020-03-28,88
2020-03-29,87
2020-03-30,91
2020-03-31,92
2020-04-01,87
2020-04-02,89
2020-04-03,84
2020-04-04,83
2020-04-05,87
2020-04-06,88
2020-04-07,92
2020-04-08,87
2020-04-09,85
2020-04-10,82
2020-04-11,76
2020-04-12,81
2020-04-13,80
2020-04-14,82
2020-04-15,82
2020-04-16,84
2020-04-17,76
2020-04-18,75
2020-04-19,76
2020-04-20,85
2020-04-21,81
2020-04-22,84
2020-04-23,83
2020-04-24,79
2020-04-25,79
2020-04-26,83
2020-04-27,88
2020-04-28,92
2020-04-29,85
2020-04-30,87
2020-05-01,77
2020-05-02,72
2020-05-03,79
2020-05-04,84
2020-05-05,87
2020-05-06,83
2020-05-07,84
2020-05-08,77
