Category: All categories

Day,Panic disorder: (United States)
2019-09-12,77
2019-09-13,91
2019-09-14,51
2019-09-15,48
2019-09-16,59
2019-09-17,68
2019-09-18,51
2019-09-19,50
2019-09-20,88
2019-09-21,42
2019-09-22,37
2019-09-23,51
2019-09-24,70
2019-09-25,87
2019-09-26,54
2019-09-27,65
2019-09-28,39
2019-09-29,50
2019-09-30,74
2019-10-01,81
2019-10-02,100
2019-10-03,46
2019-10-04,58
2019-10-05,34
2019-10-06,59
2019-10-07,63
2019-10-08,61
2019-10-09,93
2019-10-10,71
2019-10-11,79
2019-10-12,39
2019-10-13,63
2019-10-14,85
2019-10-15,88
2019-10-16,74
2019-10-17,74
2019-10-18,65
2019-10-19,50
2019-10-20,29
2019-10-21,88
2019-10-22,67
2019-10-23,73
2019-10-24,59
2019-10-25,47
2019-10-26,31
2019-10-27,58
2019-10-28,74
2019-10-29,69
2019-10-30,69
2019-10-31,67
2019-11-01,41
2019-11-02,42
2019-11-03,45
2019-11-04,70
2019-11-05,52
2019-11-06,51
2019-11-07,38
2019-11-08,49
2019-11-09,62
2019-11-10,36
2019-11-11,53
2019-11-12,67
2019-11-13,72
2019-11-14,62
2019-11-15,86
2019-11-16,49
2019-11-17,60
2019-11-18,82
2019-11-19,89
2019-11-20,39
2019-11-21,59
2019-11-22,75
2019-11-23,56
2019-11-24,44
2019-11-25,53
2019-11-26,75
2019-11-27,41
2019-11-28,28
2019-11-29,34
2019-11-30,51
2019-12-01,42
2019-12-02,84
2019-12-03,77
2019-12-04,65
2019-12-05,86
2019-12-06,35
2019-12-07,49
2019-12-08,52
2019-12-09,76
2019-12-10,60
2019-12-11,59
2019-12-12,86
2019-12-13,76
2019-12-14,41
2019-12-15,37
2019-12-16,86
2019-12-17,52
2019-12-18,49
2019-12-19,47
2019-12-20,64
2019-12-21,55
2019-12-22,34
2019-12-23,31
2019-12-24,25
2019-12-25,52
2019-12-26,53
2019-12-27,23
2019-12-28,37
2019-12-29,32
2019-12-30,52
2019-12-31,55
2020-01-01,38
2020-01-02,84
2020-01-03,64
2020-01-04,47
2020-01-05,31
2020-01-06,83
2020-01-07,77
2020-01-08,38
2020-01-09,65
2020-01-10,51
2020-01-11,55
2020-01-12,31
2020-01-13,63
2020-01-14,51
2020-01-15,58
2020-01-16,60
2020-01-17,65
2020-01-18,43
2020-01-19,23
2020-01-20,57
2020-01-21,41
2020-01-22,78
2020-01-23,65
2020-01-24,64
2020-01-25,28
2020-01-26,51
2020-01-27,70
2020-01-28,60
2020-01-29,57
2020-01-30,62
2020-01-31,31
2020-02-01,47
2020-02-02,55
2020-02-03,68
2020-02-04,63
2020-02-05,50
2020-02-06,53
2020-02-07,62
2020-02-08,43
2020-02-09,55
2020-02-10,39
2020-02-11,55
2020-02-12,43
2020-02-13,84
2020-02-14,45
2020-02-15,43
2020-02-16,39
2020-02-17,70
2020-02-18,74
2020-02-19,59
2020-02-20,39
2020-02-21,33
2020-02-22,57
2020-02-23,57
2020-02-24,58
2020-02-25,70
2020-02-26,84
2020-02-27,74
2020-02-28,72
2020-02-29,56
2020-03-01,71
2020-03-02,60
2020-03-03,85
2020-03-04,99
2020-03-05,64
2020-03-06,52
2020-03-07,49
2020-03-08,45
2020-03-09,48
2020-03-10,73
2020-03-11,63
2020-03-12,55
2020-03-13,35
2020-03-14,49
2020-03-15,40
2020-03-16,35
2020-03-17,47
2020-03-18,48
2020-03-19,54
2020-03-20,37
2020-03-21,50
2020-03-22,54
2020-03-23,47
2020-03-24,88
2020-03-25,69
2020-03-26,51
2020-03-27,48
2020-03-28,66
2020-03-29,52
2020-03-30,51
2020-03-31,66
2020-04-01,54
2020-04-02,42
2020-04-03,70
2020-04-04,48
2020-04-05,45
2020-04-06,71
2020-04-07,58
2020-04-08,55
2020-04-09,76
2020-04-10,47
2020-04-11,28
2020-04-12,56
2020-04-13,54
2020-04-14,50
2020-04-15,69
2020-04-16,67
2020-04-17,32
2020-04-18,37
2020-04-19,34
2020-04-20,49
2020-04-21,47
2020-04-22,59
2020-04-23,55
2020-04-24,58
2020-04-25,40
2020-04-26,44
2020-04-27,62
2020-04-28,60
2020-04-29,67
2020-04-30,53
2020-05-01,72
2020-05-02,48
2020-05-03,43
2020-05-04,76
2020-05-05,70
2020-05-06,74
2020-05-07,57
2020-05-08,57
