how to suicide,isPartial,date
57,False,2019-01-06
28,False,2019-01-13
28,False,2019-01-20
55,False,2019-01-27
27,False,2019-02-03
55,False,2019-02-10
0,False,2019-02-17
40,False,2019-02-24
42,False,2019-03-03
31,False,2019-03-10
28,False,2019-03-17
55,False,2019-03-24
28,False,2019-03-31
58,False,2019-04-07
30,False,2019-04-14
44,False,2019-04-21
0,False,2019-04-28
43,False,2019-05-05
0,False,2019-05-12
0,False,2019-05-19
31,False,2019-05-26
0,False,2019-06-02
94,False,2019-06-09
0,False,2019-06-16
62,False,2019-06-23
32,False,2019-06-30
31,False,2019-07-07
47,False,2019-07-14
0,False,2019-07-21
32,False,2019-07-28
31,False,2019-08-04
30,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
41,False,2019-09-01
54,False,2019-09-08
0,False,2019-09-15
40,False,2019-09-22
27,False,2019-09-29
28,False,2019-10-06
28,False,2019-10-13
27,False,2019-10-20
27,False,2019-10-27
36,False,2019-11-03
27,False,2019-11-10
26,False,2019-11-17
56,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
27,False,2019-12-15
31,False,2019-12-22
29,False,2019-12-29
27,False,2020-01-05
25,False,2020-01-12
26,False,2020-01-19
51,False,2020-01-26
34,False,2020-02-02
26,False,2020-02-09
25,False,2020-02-16
36,False,2020-02-23
41,False,2020-03-01
25,False,2020-03-08
0,False,2020-03-15
24,False,2020-03-22
23,False,2020-03-29
35,False,2020-04-05
55,False,2020-04-12
33,False,2020-04-19
68,False,2020-04-26
30,False,2020-05-03
0,False,2020-05-10
24,False,2020-05-17
25,False,2020-05-24
25,False,2020-05-31
100,False,2020-06-07
64,False,2020-06-14
53,False,2020-06-21
27,False,2020-06-28
26,False,2020-07-05
39,False,2020-07-12
27,False,2020-07-19
54,False,2020-07-26
41,False,2020-08-02
54,False,2020-08-09
81,False,2020-08-16
43,False,2020-08-23
34,False,2020-08-30
