suicide attempt,isPartial,date
40,False,2019-09-08
59,False,2019-09-15
30,False,2019-09-22
60,False,2019-09-29
79,False,2019-10-06
59,False,2019-10-13
58,False,2019-10-20
69,False,2019-10-27
38,False,2019-11-03
43,False,2019-11-10
68,False,2019-11-17
30,False,2019-11-24
28,False,2019-12-01
0,False,2019-12-08
58,False,2019-12-15
50,False,2019-12-22
85,False,2019-12-29
41,False,2020-01-05
39,False,2020-01-12
41,False,2020-01-19
79,False,2020-01-26
44,False,2020-02-02
44,False,2020-02-09
39,False,2020-02-16
89,False,2020-02-23
51,False,2020-03-01
25,False,2020-03-08
76,False,2020-03-15
34,False,2020-03-22
49,False,2020-03-29
49,False,2020-04-05
24,False,2020-04-12
40,False,2020-04-19
24,False,2020-04-26
48,False,2020-05-03
62,False,2020-05-10
61,False,2020-05-17
25,False,2020-05-24
73,False,2020-05-31
42,False,2020-06-07
43,False,2020-06-14
44,False,2020-06-21
62,False,2020-06-28
45,False,2020-07-05
100,False,2020-07-12
55,False,2020-07-19
37,False,2020-07-26
82,False,2020-08-02
28,False,2020-08-09
46,False,2020-08-16
53,False,2020-08-23
0,True,2020-08-30
