suicide help,isPartial,date
44,False,2019-09-01
45,False,2019-09-08
34,False,2019-09-15
68,False,2019-09-22
34,False,2019-09-29
56,False,2019-10-06
67,False,2019-10-13
67,False,2019-10-20
100,False,2019-10-27
65,False,2019-11-03
33,False,2019-11-10
78,False,2019-11-17
0,False,2019-11-24
32,False,2019-12-01
44,False,2019-12-08
66,False,2019-12-15
51,False,2019-12-22
32,False,2019-12-29
63,False,2020-01-05
30,False,2020-01-12
31,False,2020-01-19
0,False,2020-01-26
40,False,2020-02-02
50,False,2020-02-09
58,False,2020-02-16
43,False,2020-02-23
38,False,2020-03-01
43,False,2020-03-08
0,False,2020-03-15
29,False,2020-03-22
83,False,2020-03-29
28,False,2020-04-05
27,False,2020-04-12
54,False,2020-04-19
42,False,2020-04-26
28,False,2020-05-03
42,False,2020-05-10
28,False,2020-05-17
86,False,2020-05-24
56,False,2020-05-31
28,False,2020-06-07
0,False,2020-06-14
61,False,2020-06-21
40,False,2020-06-28
93,False,2020-07-05
41,False,2020-07-12
47,False,2020-07-19
52,False,2020-07-26
63,False,2020-08-02
0,False,2020-08-09
32,False,2020-08-16
0,True,2020-08-23
