suicide,isPartial,date
54,False,2019-08-25
70,False,2019-09-01
100,False,2019-09-08
72,False,2019-09-15
76,False,2019-09-22
46,False,2019-09-29
71,False,2019-10-06
55,False,2019-10-13
73,False,2019-10-20
79,False,2019-10-27
67,False,2019-11-03
65,False,2019-11-10
73,False,2019-11-17
57,False,2019-11-24
48,False,2019-12-01
70,False,2019-12-08
49,False,2019-12-15
51,False,2019-12-22
44,False,2019-12-29
43,False,2020-01-05
62,False,2020-01-12
41,False,2020-01-19
63,False,2020-01-26
53,False,2020-02-02
55,False,2020-02-09
59,False,2020-02-16
51,False,2020-02-23
48,False,2020-03-01
42,False,2020-03-08
36,False,2020-03-15
43,False,2020-03-22
53,False,2020-03-29
44,False,2020-04-05
53,False,2020-04-12
50,False,2020-04-19
64,False,2020-04-26
42,False,2020-05-03
57,False,2020-05-10
50,False,2020-05-17
53,False,2020-05-24
49,False,2020-05-31
46,False,2020-06-07
56,False,2020-06-14
59,False,2020-06-21
48,False,2020-06-28
47,False,2020-07-05
49,False,2020-07-12
41,False,2020-07-19
51,False,2020-07-26
52,False,2020-08-02
46,False,2020-08-09
45,True,2020-08-16
