suicide prevention,isPartial,date
39,False,2019-08-25
43,False,2019-09-01
100,False,2019-09-08
47,False,2019-09-15
52,False,2019-09-22
55,False,2019-09-29
28,False,2019-10-06
38,False,2019-10-13
11,False,2019-10-20
28,False,2019-10-27
54,False,2019-11-03
31,False,2019-11-10
21,False,2019-11-17
32,False,2019-11-24
31,False,2019-12-01
21,False,2019-12-08
22,False,2019-12-15
23,False,2019-12-22
38,False,2019-12-29
10,False,2020-01-05
19,False,2020-01-12
41,False,2020-01-19
31,False,2020-01-26
25,False,2020-02-02
21,False,2020-02-09
16,False,2020-02-16
39,False,2020-02-23
19,False,2020-03-01
24,False,2020-03-08
19,False,2020-03-15
28,False,2020-03-22
9,False,2020-03-29
28,False,2020-04-05
14,False,2020-04-12
26,False,2020-04-19
13,False,2020-04-26
27,False,2020-05-03
23,False,2020-05-10
14,False,2020-05-17
18,False,2020-05-24
9,False,2020-05-31
13,False,2020-06-07
19,False,2020-06-14
43,False,2020-06-21
10,False,2020-06-28
25,False,2020-07-05
32,False,2020-07-12
36,False,2020-07-19
25,False,2020-07-26
40,False,2020-08-02
30,False,2020-08-09
35,True,2020-08-16
