feeling down,isPartial,date
100,False,2019-09-01
49,False,2019-09-08
49,False,2019-09-15
33,False,2019-09-22
32,False,2019-09-29
33,False,2019-10-06
33,False,2019-10-13
65,False,2019-10-20
0,False,2019-10-27
43,False,2019-11-03
32,False,2019-11-10
32,False,2019-11-17
34,False,2019-11-24
32,False,2019-12-01
32,False,2019-12-08
67,False,2019-12-15
0,False,2019-12-22
33,False,2019-12-29
32,False,2020-01-05
30,False,2020-01-12
31,False,2020-01-19
31,False,2020-01-26
45,False,2020-02-02
46,False,2020-02-09
59,False,2020-02-16
29,False,2020-02-23
29,False,2020-03-01
30,False,2020-03-08
29,False,2020-03-15
28,False,2020-03-22
27,False,2020-03-29
42,False,2020-04-05
28,False,2020-04-12
26,False,2020-04-19
54,False,2020-04-26
41,False,2020-05-03
28,False,2020-05-10
27,False,2020-05-17
42,False,2020-05-24
0,False,2020-05-31
55,False,2020-06-07
42,False,2020-06-14
58,False,2020-06-21
30,False,2020-06-28
50,False,2020-07-05
41,False,2020-07-12
61,False,2020-07-19
31,False,2020-07-26
46,False,2020-08-02
31,False,2020-08-09
62,False,2020-08-16
69,True,2020-08-23
