suicidal ideation,isPartial,date
58,False,2015-09-20
53,False,2015-09-27
64,False,2015-10-04
57,False,2015-10-11
66,False,2015-10-18
44,False,2015-10-25
59,False,2015-11-01
49,False,2015-11-08
48,False,2015-11-15
35,False,2015-11-22
47,False,2015-11-29
59,False,2015-12-06
45,False,2015-12-13
39,False,2015-12-20
38,False,2015-12-27
34,False,2016-01-03
34,False,2016-01-10
41,False,2016-01-17
50,False,2016-01-24
57,False,2016-01-31
39,False,2016-02-07
41,False,2016-02-14
38,False,2016-02-21
57,False,2016-02-28
39,False,2016-03-06
45,False,2016-03-13
43,False,2016-03-20
46,False,2016-03-27
48,False,2016-04-03
58,False,2016-04-10
55,False,2016-04-17
34,False,2016-04-24
40,False,2016-05-01
36,False,2016-05-08
52,False,2016-05-15
48,False,2016-05-22
31,False,2016-05-29
23,False,2016-06-05
42,False,2016-06-12
29,False,2016-06-19
34,False,2016-06-26
44,False,2016-07-03
41,False,2016-07-10
36,False,2016-07-17
20,False,2016-07-24
51,False,2016-07-31
31,False,2016-08-07
33,False,2016-08-14
35,False,2016-08-21
30,False,2016-08-28
20,False,2016-09-04
42,False,2016-09-11
53,False,2016-09-18
43,False,2016-09-25
40,False,2016-10-02
45,False,2016-10-09
30,False,2016-10-16
44,False,2016-10-23
50,False,2016-10-30
42,False,2016-11-06
46,False,2016-11-13
34,False,2016-11-20
42,False,2016-11-27
42,False,2016-12-04
48,False,2016-12-11
27,False,2016-12-18
36,False,2016-12-25
30,False,2017-01-01
33,False,2017-01-08
35,False,2017-01-15
36,False,2017-01-22
41,False,2017-01-29
45,False,2017-02-05
44,False,2017-02-12
57,False,2017-02-19
43,False,2017-02-26
44,False,2017-03-05
45,False,2017-03-12
43,False,2017-03-19
56,False,2017-03-26
48,False,2017-04-02
46,False,2017-04-09
51,False,2017-04-16
56,False,2017-04-23
57,False,2017-04-30
54,False,2017-05-07
70,False,2017-05-14
47,False,2017-05-21
50,False,2017-05-28
51,False,2017-06-04
47,False,2017-06-11
54,False,2017-06-18
43,False,2017-06-25
63,False,2017-07-02
38,False,2017-07-09
48,False,2017-07-16
47,False,2017-07-23
34,False,2017-07-30
51,False,2017-08-06
41,False,2017-08-13
55,False,2017-08-20
67,False,2017-08-27
50,False,2017-09-03
47,False,2017-09-10
60,False,2017-09-17
57,False,2017-09-24
47,False,2017-10-01
51,False,2017-10-08
81,False,2017-10-15
55,False,2017-10-22
65,False,2017-10-29
53,False,2017-11-05
51,False,2017-11-12
60,False,2017-11-19
70,False,2017-11-26
66,False,2017-12-03
57,False,2017-12-10
54,False,2017-12-17
30,False,2017-12-24
46,False,2017-12-31
51,False,2018-01-07
51,False,2018-01-14
54,False,2018-01-21
57,False,2018-01-28
64,False,2018-02-04
52,False,2018-02-11
79,False,2018-02-18
61,False,2018-02-25
62,False,2018-03-04
57,False,2018-03-11
64,False,2018-03-18
69,False,2018-03-25
72,False,2018-04-01
58,False,2018-04-08
68,False,2018-04-15
60,False,2018-04-22
58,False,2018-04-29
67,False,2018-05-06
51,False,2018-05-13
58,False,2018-05-20
67,False,2018-05-27
79,False,2018-06-03
82,False,2018-06-10
59,False,2018-06-17
58,False,2018-06-24
66,False,2018-07-01
50,False,2018-07-08
66,False,2018-07-15
51,False,2018-07-22
48,False,2018-07-29
62,False,2018-08-05
68,False,2018-08-12
70,False,2018-08-19
65,False,2018-08-26
60,False,2018-09-02
72,False,2018-09-09
69,False,2018-09-16
65,False,2018-09-23
72,False,2018-09-30
77,False,2018-10-07
77,False,2018-10-14
100,False,2018-10-21
80,False,2018-10-28
74,False,2018-11-04
78,False,2018-11-11
52,False,2018-11-18
69,False,2018-11-25
63,False,2018-12-02
65,False,2018-12-09
52,False,2018-12-16
49,False,2018-12-23
47,False,2018-12-30
74,False,2019-01-06
47,False,2019-01-13
66,False,2019-01-20
83,False,2019-01-27
79,False,2019-02-03
77,False,2019-02-10
61,False,2019-02-17
53,False,2019-02-24
79,False,2019-03-03
58,False,2019-03-10
62,False,2019-03-17
66,False,2019-03-24
73,False,2019-03-31
88,False,2019-04-07
57,False,2019-04-14
65,False,2019-04-21
67,False,2019-04-28
81,False,2019-05-05
60,False,2019-05-12
60,False,2019-05-19
42,False,2019-05-26
55,False,2019-06-02
47,False,2019-06-09
47,False,2019-06-16
63,False,2019-06-23
37,False,2019-06-30
46,False,2019-07-07
71,False,2019-07-14
69,False,2019-07-21
49,False,2019-07-28
71,False,2019-08-04
53,False,2019-08-11
53,False,2019-08-18
52,False,2019-08-25
60,False,2019-09-01
79,False,2019-09-08
63,False,2019-09-15
58,False,2019-09-22
70,False,2019-09-29
73,False,2019-10-06
70,False,2019-10-13
66,False,2019-10-20
59,False,2019-10-27
69,False,2019-11-03
71,False,2019-11-10
67,False,2019-11-17
57,False,2019-11-24
59,False,2019-12-01
65,False,2019-12-08
53,False,2019-12-15
31,False,2019-12-22
44,False,2019-12-29
51,False,2020-01-05
64,False,2020-01-12
63,False,2020-01-19
51,False,2020-01-26
76,False,2020-02-02
62,False,2020-02-09
60,False,2020-02-16
73,False,2020-02-23
64,False,2020-03-01
61,False,2020-03-08
44,False,2020-03-15
46,False,2020-03-22
49,False,2020-03-29
48,False,2020-04-05
53,False,2020-04-12
44,False,2020-04-19
60,False,2020-04-26
48,False,2020-05-03
54,False,2020-05-10
49,False,2020-05-17
57,False,2020-05-24
57,False,2020-05-31
41,False,2020-06-07
75,False,2020-06-14
69,False,2020-06-21
58,False,2020-06-28
57,False,2020-07-05
69,False,2020-07-12
59,False,2020-07-19
73,False,2020-07-26
63,False,2020-08-02
59,False,2020-08-09
69,False,2020-08-16
60,False,2020-08-23
71,False,2020-08-30
63,False,2020-09-06
78,True,2020-09-13
