suicide method,isPartial,date
8,False,2015-09-20
16,False,2015-09-27
22,False,2015-10-04
18,False,2015-10-11
17,False,2015-10-18
16,False,2015-10-25
14,False,2015-11-01
13,False,2015-11-08
9,False,2015-11-15
14,False,2015-11-22
14,False,2015-11-29
17,False,2015-12-06
13,False,2015-12-13
10,False,2015-12-20
14,False,2015-12-27
17,False,2016-01-03
7,False,2016-01-10
17,False,2016-01-17
11,False,2016-01-24
19,False,2016-01-31
5,False,2016-02-07
15,False,2016-02-14
7,False,2016-02-21
16,False,2016-02-28
12,False,2016-03-06
17,False,2016-03-13
12,False,2016-03-20
11,False,2016-03-27
17,False,2016-04-03
16,False,2016-04-10
13,False,2016-04-17
11,False,2016-04-24
12,False,2016-05-01
19,False,2016-05-08
13,False,2016-05-15
16,False,2016-05-22
17,False,2016-05-29
14,False,2016-06-05
15,False,2016-06-12
9,False,2016-06-19
15,False,2016-06-26
17,False,2016-07-03
10,False,2016-07-10
10,False,2016-07-17
15,False,2016-07-24
19,False,2016-07-31
29,False,2016-08-07
14,False,2016-08-14
19,False,2016-08-21
21,False,2016-08-28
10,False,2016-09-04
13,False,2016-09-11
17,False,2016-09-18
8,False,2016-09-25
12,False,2016-10-02
11,False,2016-10-09
13,False,2016-10-16
12,False,2016-10-23
7,False,2016-10-30
9,False,2016-11-06
10,False,2016-11-13
16,False,2016-11-20
11,False,2016-11-27
13,False,2016-12-04
15,False,2016-12-11
10,False,2016-12-18
9,False,2016-12-25
14,False,2017-01-01
13,False,2017-01-08
8,False,2017-01-15
16,False,2017-01-22
9,False,2017-01-29
5,False,2017-02-05
5,False,2017-02-12
12,False,2017-02-19
10,False,2017-02-26
12,False,2017-03-05
11,False,2017-03-12
12,False,2017-03-19
12,False,2017-03-26
11,False,2017-04-02
7,False,2017-04-09
14,False,2017-04-16
22,False,2017-04-23
13,False,2017-04-30
14,False,2017-05-07
21,False,2017-05-14
18,False,2017-05-21
12,False,2017-05-28
8,False,2017-06-04
11,False,2017-06-11
11,False,2017-06-18
10,False,2017-06-25
10,False,2017-07-02
10,False,2017-07-09
19,False,2017-07-16
15,False,2017-07-23
22,False,2017-07-30
8,False,2017-08-06
12,False,2017-08-13
9,False,2017-08-20
7,False,2017-08-27
14,False,2017-09-03
13,False,2017-09-10
10,False,2017-09-17
14,False,2017-09-24
15,False,2017-10-01
19,False,2017-10-08
10,False,2017-10-15
10,False,2017-10-22
11,False,2017-10-29
10,False,2017-11-05
11,False,2017-11-12
16,False,2017-11-19
9,False,2017-11-26
15,False,2017-12-03
15,False,2017-12-10
11,False,2017-12-17
11,False,2017-12-24
9,False,2017-12-31
8,False,2018-01-07
7,False,2018-01-14
7,False,2018-01-21
17,False,2018-01-28
9,False,2018-02-04
11,False,2018-02-11
14,False,2018-02-18
13,False,2018-02-25
11,False,2018-03-04
7,False,2018-03-11
8,False,2018-03-18
22,False,2018-03-25
10,False,2018-04-01
14,False,2018-04-08
7,False,2018-04-15
13,False,2018-04-22
11,False,2018-04-29
17,False,2018-05-06
11,False,2018-05-13
14,False,2018-05-20
11,False,2018-05-27
100,False,2018-06-03
25,False,2018-06-10
17,False,2018-06-17
13,False,2018-06-24
13,False,2018-07-01
8,False,2018-07-08
9,False,2018-07-15
9,False,2018-07-22
12,False,2018-07-29
12,False,2018-08-05
11,False,2018-08-12
8,False,2018-08-19
15,False,2018-08-26
14,False,2018-09-02
15,False,2018-09-09
10,False,2018-09-16
14,False,2018-09-23
15,False,2018-09-30
11,False,2018-10-07
10,False,2018-10-14
16,False,2018-10-21
7,False,2018-10-28
7,False,2018-11-04
10,False,2018-11-11
15,False,2018-11-18
13,False,2018-11-25
15,False,2018-12-02
8,False,2018-12-09
8,False,2018-12-16
7,False,2018-12-23
11,False,2018-12-30
16,False,2019-01-06
16,False,2019-01-13
17,False,2019-01-20
11,False,2019-01-27
11,False,2019-02-03
9,False,2019-02-10
14,False,2019-02-17
11,False,2019-02-24
9,False,2019-03-03
14,False,2019-03-10
14,False,2019-03-17
20,False,2019-03-24
11,False,2019-03-31
15,False,2019-04-07
13,False,2019-04-14
15,False,2019-04-21
14,False,2019-04-28
13,False,2019-05-05
12,False,2019-05-12
10,False,2019-05-19
10,False,2019-05-26
14,False,2019-06-02
9,False,2019-06-09
6,False,2019-06-16
10,False,2019-06-23
10,False,2019-06-30
12,False,2019-07-07
10,False,2019-07-14
18,False,2019-07-21
10,False,2019-07-28
15,False,2019-08-04
12,False,2019-08-11
14,False,2019-08-18
12,False,2019-08-25
12,False,2019-09-01
19,False,2019-09-08
14,False,2019-09-15
17,False,2019-09-22
17,False,2019-09-29
14,False,2019-10-06
16,False,2019-10-13
11,False,2019-10-20
7,False,2019-10-27
11,False,2019-11-03
13,False,2019-11-10
15,False,2019-11-17
8,False,2019-11-24
9,False,2019-12-01
14,False,2019-12-08
13,False,2019-12-15
9,False,2019-12-22
9,False,2019-12-29
12,False,2020-01-05
12,False,2020-01-12
7,False,2020-01-19
10,False,2020-01-26
9,False,2020-02-02
10,False,2020-02-09
13,False,2020-02-16
14,False,2020-02-23
10,False,2020-03-01
17,False,2020-03-08
11,False,2020-03-15
11,False,2020-03-22
12,False,2020-03-29
9,False,2020-04-05
10,False,2020-04-12
13,False,2020-04-19
16,False,2020-04-26
15,False,2020-05-03
12,False,2020-05-10
10,False,2020-05-17
22,False,2020-05-24
10,False,2020-05-31
11,False,2020-06-07
28,False,2020-06-14
19,False,2020-06-21
17,False,2020-06-28
18,False,2020-07-05
10,False,2020-07-12
7,False,2020-07-19
6,False,2020-07-26
10,False,2020-08-02
12,False,2020-08-09
13,False,2020-08-16
19,False,2020-08-23
12,False,2020-08-30
14,False,2020-09-06
14,True,2020-09-13
