suicide prevention,isPartial,date
0,False,2019-08-25
60,False,2019-09-01
100,False,2019-09-08
40,False,2019-09-15
0,False,2019-09-22
0,False,2019-09-29
40,False,2019-10-06
42,False,2019-10-13
41,False,2019-10-20
0,False,2019-10-27
81,False,2019-11-03
41,False,2019-11-10
61,False,2019-11-17
0,False,2019-11-24
41,False,2019-12-01
0,False,2019-12-08
42,False,2019-12-15
0,False,2019-12-22
43,False,2019-12-29
0,False,2020-01-05
39,False,2020-01-12
41,False,2020-01-19
40,False,2020-01-26
40,False,2020-02-02
0,False,2020-02-09
42,False,2020-02-16
38,False,2020-02-23
76,False,2020-03-01
38,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
0,False,2020-03-29
50,False,2020-04-05
0,False,2020-04-12
34,False,2020-04-19
32,False,2020-04-26
33,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
36,False,2020-05-24
0,False,2020-05-31
35,False,2020-06-07
0,False,2020-06-14
73,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
71,False,2020-07-26
0,False,2020-08-02
36,False,2020-08-09
0,True,2020-08-16
