painless suicide,isPartial,date
0,False,2019-09-22
97,False,2019-09-29
100,False,2019-10-06
0,False,2019-10-13
97,False,2019-10-20
0,False,2019-10-27
98,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
94,False,2020-01-19
0,False,2020-01-26
91,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
87,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
83,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
83,False,2020-04-12
79,False,2020-04-19
82,False,2020-04-26
0,False,2020-05-03
85,False,2020-05-10
81,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
82,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
90,False,2020-06-28
90,False,2020-07-05
0,False,2020-07-12
0,False,2020-07-19
0,False,2020-07-26
92,False,2020-08-02
0,False,2020-08-09
93,False,2020-08-16
0,False,2020-08-23
0,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
