suicidal thoughts,isPartial,date
13,False,2019-09-08
13,False,2019-09-15
13,False,2019-09-22
0,False,2019-09-29
13,False,2019-10-06
27,False,2019-10-13
20,False,2019-10-20
0,False,2019-10-27
13,False,2019-11-03
20,False,2019-11-10
13,False,2019-11-17
21,False,2019-11-24
13,False,2019-12-01
0,False,2019-12-08
14,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
13,False,2020-01-05
18,False,2020-01-12
0,False,2020-01-19
25,False,2020-01-26
0,False,2020-02-02
13,False,2020-02-09
13,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
12,False,2020-03-15
12,False,2020-03-22
0,False,2020-03-29
11,False,2020-04-05
0,False,2020-04-12
11,False,2020-04-19
11,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
0,False,2020-05-17
12,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
13,False,2020-06-21
13,False,2020-06-28
13,False,2020-07-05
39,False,2020-07-12
0,False,2020-07-19
27,False,2020-07-26
0,False,2020-08-02
13,False,2020-08-09
13,False,2020-08-16
13,False,2020-08-23
100,True,2020-08-30
