baby blues,isPartial,date
56,False,2019-09-01
64,False,2019-09-08
32,False,2019-09-15
48,False,2019-09-22
33,False,2019-09-29
34,False,2019-10-06
67,False,2019-10-13
67,False,2019-10-20
0,False,2019-10-27
100,False,2019-11-03
32,False,2019-11-10
32,False,2019-11-17
33,False,2019-11-24
84,False,2019-12-01
33,False,2019-12-08
33,False,2019-12-15
72,False,2019-12-22
34,False,2019-12-29
31,False,2020-01-05
29,False,2020-01-12
32,False,2020-01-19
42,False,2020-01-26
0,False,2020-02-02
31,False,2020-02-09
32,False,2020-02-16
60,False,2020-02-23
39,False,2020-03-01
29,False,2020-03-08
30,False,2020-03-15
28,False,2020-03-22
65,False,2020-03-29
87,False,2020-04-05
28,False,2020-04-12
54,False,2020-04-19
45,False,2020-04-26
28,False,2020-05-03
28,False,2020-05-10
69,False,2020-05-17
28,False,2020-05-24
0,False,2020-05-31
36,False,2020-06-07
43,False,2020-06-14
0,False,2020-06-21
30,False,2020-06-28
62,False,2020-07-05
42,False,2020-07-12
31,False,2020-07-19
47,False,2020-07-26
61,False,2020-08-02
0,False,2020-08-09
31,False,2020-08-16
73,True,2020-08-23
