suicidal ideation,isPartial,date
0,False,2015-09-20
0,False,2015-09-27
48,False,2015-10-04
0,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
71,False,2015-11-01
48,False,2015-11-08
48,False,2015-11-15
0,False,2015-11-22
0,False,2015-11-29
0,False,2015-12-06
48,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
0,False,2016-01-03
0,False,2016-01-10
40,False,2016-01-17
42,False,2016-01-24
0,False,2016-01-31
78,False,2016-02-07
40,False,2016-02-14
0,False,2016-02-21
0,False,2016-02-28
0,False,2016-03-06
42,False,2016-03-13
40,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
40,False,2016-04-24
0,False,2016-05-01
42,False,2016-05-08
43,False,2016-05-15
0,False,2016-05-22
44,False,2016-05-29
0,False,2016-06-05
43,False,2016-06-12
0,False,2016-06-19
0,False,2016-06-26
46,False,2016-07-03
45,False,2016-07-10
0,False,2016-07-17
0,False,2016-07-24
0,False,2016-07-31
45,False,2016-08-07
0,False,2016-08-14
43,False,2016-08-21
0,False,2016-08-28
42,False,2016-09-04
61,False,2016-09-11
41,False,2016-09-18
41,False,2016-09-25
0,False,2016-10-02
0,False,2016-10-09
41,False,2016-10-16
40,False,2016-10-23
41,False,2016-10-30
38,False,2016-11-06
0,False,2016-11-13
40,False,2016-11-20
58,False,2016-11-27
37,False,2016-12-04
0,False,2016-12-11
41,False,2016-12-18
0,False,2016-12-25
39,False,2017-01-01
0,False,2017-01-08
0,False,2017-01-15
36,False,2017-01-22
36,False,2017-01-29
36,False,2017-02-05
35,False,2017-02-12
0,False,2017-02-19
34,False,2017-02-26
52,False,2017-03-05
0,False,2017-03-12
47,False,2017-03-19
71,False,2017-03-26
35,False,2017-04-02
72,False,2017-04-09
0,False,2017-04-16
36,False,2017-04-23
36,False,2017-04-30
37,False,2017-05-07
39,False,2017-05-14
39,False,2017-05-21
81,False,2017-05-28
40,False,2017-06-04
80,False,2017-06-11
0,False,2017-06-18
0,False,2017-06-25
42,False,2017-07-02
0,False,2017-07-09
40,False,2017-07-16
39,False,2017-07-23
0,False,2017-07-30
0,False,2017-08-06
37,False,2017-08-13
35,False,2017-08-20
71,False,2017-08-27
35,False,2017-09-03
0,False,2017-09-10
35,False,2017-09-17
0,False,2017-09-24
71,False,2017-10-01
0,False,2017-10-08
0,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
35,False,2017-11-05
0,False,2017-11-12
0,False,2017-11-19
34,False,2017-11-26
70,False,2017-12-03
0,False,2017-12-10
37,False,2017-12-17
0,False,2017-12-24
37,False,2017-12-31
0,False,2018-01-07
34,False,2018-01-14
45,False,2018-01-21
33,False,2018-01-28
50,False,2018-02-04
0,False,2018-02-11
33,False,2018-02-18
33,False,2018-02-25
33,False,2018-03-04
0,False,2018-03-11
34,False,2018-03-18
51,False,2018-03-25
34,False,2018-04-01
51,False,2018-04-08
34,False,2018-04-15
0,False,2018-04-22
68,False,2018-04-29
0,False,2018-05-06
0,False,2018-05-13
0,False,2018-05-20
0,False,2018-05-27
37,False,2018-06-03
71,False,2018-06-10
54,False,2018-06-17
