commit suicide,isPartial,date
76,False,2019-09-22
60,False,2019-09-29
81,False,2019-10-06
72,False,2019-10-13
45,False,2019-10-20
81,False,2019-10-27
92,False,2019-11-03
63,False,2019-11-10
77,False,2019-11-17
53,False,2019-11-24
56,False,2019-12-01
63,False,2019-12-08
51,False,2019-12-15
56,False,2019-12-22
60,False,2019-12-29
33,False,2020-01-05
60,False,2020-01-12
69,False,2020-01-19
67,False,2020-01-26
70,False,2020-02-02
55,False,2020-02-09
79,False,2020-02-16
87,False,2020-02-23
56,False,2020-03-01
64,False,2020-03-08
34,False,2020-03-15
73,False,2020-03-22
61,False,2020-03-29
57,False,2020-04-05
65,False,2020-04-12
63,False,2020-04-19
92,False,2020-04-26
43,False,2020-05-03
73,False,2020-05-10
59,False,2020-05-17
47,False,2020-05-24
100,False,2020-05-31
44,False,2020-06-07
71,False,2020-06-14
84,False,2020-06-21
80,False,2020-06-28
96,False,2020-07-05
75,False,2020-07-12
61,False,2020-07-19
64,False,2020-07-26
63,False,2020-08-02
39,False,2020-08-09
30,False,2020-08-16
44,False,2020-08-23
64,False,2020-08-30
91,False,2020-09-06
53,True,2020-09-13
