suicide attempt,isPartial,date
0,False,2019-09-22
32,False,2019-09-29
0,False,2019-10-06
21,False,2019-10-13
43,False,2019-10-20
22,False,2019-10-27
21,False,2019-11-03
20,False,2019-11-10
21,False,2019-11-17
63,False,2019-11-24
0,False,2019-12-01
21,False,2019-12-08
0,False,2019-12-15
23,False,2019-12-22
22,False,2019-12-29
20,False,2020-01-05
19,False,2020-01-12
20,False,2020-01-19
100,False,2020-01-26
20,False,2020-02-02
20,False,2020-02-09
31,False,2020-02-16
39,False,2020-02-23
38,False,2020-03-01
19,False,2020-03-08
37,False,2020-03-15
0,False,2020-03-22
36,False,2020-03-29
0,False,2020-04-05
18,False,2020-04-12
17,False,2020-04-19
0,False,2020-04-26
18,False,2020-05-03
18,False,2020-05-10
36,False,2020-05-17
18,False,2020-05-24
17,False,2020-05-31
17,False,2020-06-07
18,False,2020-06-14
19,False,2020-06-21
0,False,2020-06-28
20,False,2020-07-05
20,False,2020-07-12
20,False,2020-07-19
20,False,2020-07-26
20,False,2020-08-02
20,False,2020-08-09
20,False,2020-08-16
0,False,2020-08-23
19,False,2020-08-30
37,False,2020-09-06
40,True,2020-09-13
