i want to die,isPartial,date
0,False,2019-01-06
60,False,2019-01-13
46,False,2019-01-20
31,False,2019-01-27
29,False,2019-02-03
0,False,2019-02-10
0,False,2019-02-17
61,False,2019-02-24
0,False,2019-03-03
30,False,2019-03-10
30,False,2019-03-17
59,False,2019-03-24
0,False,2019-03-31
30,False,2019-04-07
60,False,2019-04-14
0,False,2019-04-21
59,False,2019-04-28
30,False,2019-05-05
29,False,2019-05-12
87,False,2019-05-19
57,False,2019-05-26
0,False,2019-06-02
28,False,2019-06-09
28,False,2019-06-16
0,False,2019-06-23
28,False,2019-06-30
28,False,2019-07-07
28,False,2019-07-14
29,False,2019-07-21
88,False,2019-07-28
29,False,2019-08-04
0,False,2019-08-11
57,False,2019-08-18
0,False,2019-08-25
28,False,2019-09-01
28,False,2019-09-08
57,False,2019-09-15
29,False,2019-09-22
28,False,2019-09-29
26,False,2019-10-06
28,False,2019-10-13
57,False,2019-10-20
0,False,2019-10-27
29,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
57,False,2019-11-24
0,False,2019-12-01
43,False,2019-12-08
28,False,2019-12-15
28,False,2019-12-22
56,False,2019-12-29
27,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
27,False,2020-02-02
27,False,2020-02-09
40,False,2020-02-16
26,False,2020-02-23
39,False,2020-03-01
38,False,2020-03-08
0,False,2020-03-15
26,False,2020-03-22
25,False,2020-03-29
36,False,2020-04-05
24,False,2020-04-12
23,False,2020-04-19
23,False,2020-04-26
45,False,2020-05-03
23,False,2020-05-10
23,False,2020-05-17
47,False,2020-05-24
0,False,2020-05-31
48,False,2020-06-07
37,False,2020-06-14
38,False,2020-06-21
100,False,2020-06-28
25,False,2020-07-05
0,False,2020-07-12
26,False,2020-07-19
51,False,2020-07-26
39,False,2020-08-02
25,False,2020-08-09
52,False,2020-08-16
27,False,2020-08-23
26,False,2020-08-30
