how to overdose,isPartial,date
0,False,2019-09-22
52,False,2019-09-29
51,False,2019-10-06
54,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
78,False,2019-11-10
0,False,2019-11-17
55,False,2019-11-24
52,False,2019-12-01
53,False,2019-12-08
53,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
0,False,2020-01-05
100,False,2020-01-12
79,False,2020-01-19
51,False,2020-01-26
0,False,2020-02-02
51,False,2020-02-09
53,False,2020-02-16
73,False,2020-02-23
96,False,2020-03-01
0,False,2020-03-08
45,False,2020-03-15
43,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
41,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
42,False,2020-05-03
43,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
44,False,2020-06-07
47,False,2020-06-14
0,False,2020-06-21
45,False,2020-06-28
45,False,2020-07-05
0,False,2020-07-12
46,False,2020-07-19
45,False,2020-07-26
68,False,2020-08-02
67,False,2020-08-09
45,False,2020-08-16
45,False,2020-08-23
0,False,2020-08-30
0,False,2020-09-06
0,True,2020-09-13
