suicide hotline,isPartial,date
83,False,2019-09-22
59,False,2019-09-29
64,False,2019-10-06
76,False,2019-10-13
58,False,2019-10-20
23,False,2019-10-27
34,False,2019-11-03
56,False,2019-11-10
69,False,2019-11-17
53,False,2019-11-24
39,False,2019-12-01
28,False,2019-12-08
57,False,2019-12-15
53,False,2019-12-22
56,False,2019-12-29
54,False,2020-01-05
62,False,2020-01-12
43,False,2020-01-19
57,False,2020-01-26
78,False,2020-02-02
57,False,2020-02-09
66,False,2020-02-16
80,False,2020-02-23
81,False,2020-03-01
40,False,2020-03-08
50,False,2020-03-15
35,False,2020-03-22
48,False,2020-03-29
63,False,2020-04-05
79,False,2020-04-12
66,False,2020-04-19
53,False,2020-04-26
82,False,2020-05-03
19,False,2020-05-10
58,False,2020-05-17
35,False,2020-05-24
87,False,2020-05-31
39,False,2020-06-07
41,False,2020-06-14
57,False,2020-06-21
100,False,2020-06-28
86,False,2020-07-05
43,False,2020-07-12
54,False,2020-07-19
44,False,2020-07-26
32,False,2020-08-02
92,False,2020-08-09
55,False,2020-08-16
63,False,2020-08-23
31,False,2020-08-30
89,False,2020-09-06
71,True,2020-09-13
