online suicide,isPartial,date
78,False,2019-09-01
40,False,2019-09-08
100,False,2019-09-15
41,False,2019-09-22
68,False,2019-09-29
40,False,2019-10-06
53,False,2019-10-13
79,False,2019-10-20
59,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
39,False,2019-11-17
81,False,2019-11-24
77,False,2019-12-01
39,False,2019-12-08
39,False,2019-12-15
0,False,2019-12-22
58,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
53,False,2020-01-26
36,False,2020-02-02
54,False,2020-02-09
34,False,2020-02-16
57,False,2020-02-23
34,False,2020-03-01
34,False,2020-03-08
34,False,2020-03-15
34,False,2020-03-22
82,False,2020-03-29
66,False,2020-04-05
48,False,2020-04-12
54,False,2020-04-19
66,False,2020-04-26
33,False,2020-05-03
66,False,2020-05-10
44,False,2020-05-17
68,False,2020-05-24
0,False,2020-05-31
0,False,2020-06-07
52,False,2020-06-14
54,False,2020-06-21
54,False,2020-06-28
36,False,2020-07-05
37,False,2020-07-12
74,False,2020-07-19
74,False,2020-07-26
37,False,2020-08-02
37,False,2020-08-09
56,False,2020-08-16
97,True,2020-08-23
