how to overdose,isPartial,date
0,False,2019-01-06
41,False,2019-01-13
42,False,2019-01-20
41,False,2019-01-27
40,False,2019-02-03
29,False,2019-02-10
19,False,2019-02-17
19,False,2019-02-24
30,False,2019-03-03
52,False,2019-03-10
21,False,2019-03-17
42,False,2019-03-24
0,False,2019-03-31
44,False,2019-04-07
22,False,2019-04-14
44,False,2019-04-21
21,False,2019-04-28
0,False,2019-05-05
21,False,2019-05-12
22,False,2019-05-19
43,False,2019-05-26
21,False,2019-06-02
21,False,2019-06-09
0,False,2019-06-16
0,False,2019-06-23
22,False,2019-06-30
21,False,2019-07-07
0,False,2019-07-14
22,False,2019-07-21
22,False,2019-07-28
0,False,2019-08-04
33,False,2019-08-11
0,False,2019-08-18
0,False,2019-08-25
0,False,2019-09-01
40,False,2019-09-08
20,False,2019-09-15
20,False,2019-09-22
40,False,2019-09-29
20,False,2019-10-06
20,False,2019-10-13
29,False,2019-10-20
29,False,2019-10-27
29,False,2019-11-03
19,False,2019-11-10
58,False,2019-11-17
100,False,2019-11-24
19,False,2019-12-01
57,False,2019-12-08
29,False,2019-12-15
22,False,2019-12-22
30,False,2019-12-29
28,False,2020-01-05
37,False,2020-01-12
19,False,2020-01-19
19,False,2020-01-26
36,False,2020-02-02
36,False,2020-02-09
18,False,2020-02-16
17,False,2020-02-23
17,False,2020-03-01
26,False,2020-03-08
17,False,2020-03-15
33,False,2020-03-22
0,False,2020-03-29
24,False,2020-04-05
24,False,2020-04-12
16,False,2020-04-19
31,False,2020-04-26
31,False,2020-05-03
24,False,2020-05-10
32,False,2020-05-17
16,False,2020-05-24
32,False,2020-05-31
32,False,2020-06-07
17,False,2020-06-14
0,False,2020-06-21
53,False,2020-06-28
17,False,2020-07-05
26,False,2020-07-12
18,False,2020-07-19
18,False,2020-07-26
18,False,2020-08-02
37,False,2020-08-09
19,False,2020-08-16
27,False,2020-08-23
35,False,2020-08-30
