how to hang yourself,isPartial,date
0,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
36,False,2019-10-20
0,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
37,False,2019-11-24
52,False,2019-12-01
0,False,2019-12-08
35,False,2019-12-15
0,False,2019-12-22
35,False,2019-12-29
0,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
32,False,2020-02-02
0,False,2020-02-09
31,False,2020-02-16
0,False,2020-02-23
0,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
31,False,2020-03-22
0,False,2020-03-29
30,False,2020-04-05
29,False,2020-04-12
0,False,2020-04-19
0,False,2020-04-26
29,False,2020-05-03
30,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
0,False,2020-05-31
30,False,2020-06-07
31,False,2020-06-14
0,False,2020-06-21
32,False,2020-06-28
0,False,2020-07-05
33,False,2020-07-12
33,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
0,False,2020-08-09
100,False,2020-08-16
0,False,2020-08-23
32,False,2020-08-30
65,False,2020-09-06
73,True,2020-09-13
