crisis text line,isPartial,date
0,False,2019-09-01
66,False,2019-09-08
66,False,2019-09-15
44,False,2019-09-22
0,False,2019-09-29
47,False,2019-10-06
45,False,2019-10-13
45,False,2019-10-20
47,False,2019-10-27
0,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
45,False,2019-11-24
0,False,2019-12-01
0,False,2019-12-08
0,False,2019-12-15
49,False,2019-12-22
47,False,2019-12-29
84,False,2020-01-05
0,False,2020-01-12
0,False,2020-01-19
43,False,2020-01-26
42,False,2020-02-02
43,False,2020-02-09
0,False,2020-02-16
41,False,2020-02-23
100,False,2020-03-01
40,False,2020-03-08
40,False,2020-03-15
38,False,2020-03-22
0,False,2020-03-29
40,False,2020-04-05
0,False,2020-04-12
37,False,2020-04-19
37,False,2020-04-26
75,False,2020-05-03
0,False,2020-05-10
75,False,2020-05-17
39,False,2020-05-24
54,False,2020-05-31
37,False,2020-06-07
39,False,2020-06-14
41,False,2020-06-21
0,False,2020-06-28
42,False,2020-07-05
0,False,2020-07-12
43,False,2020-07-19
42,False,2020-07-26
0,False,2020-08-02
43,False,2020-08-09
42,False,2020-08-16
98,True,2020-08-23
