suicide methods,isPartial,date
100,False,2015-09-20
0,False,2015-09-27
0,False,2015-10-04
50,False,2015-10-11
0,False,2015-10-18
0,False,2015-10-25
0,False,2015-11-01
51,False,2015-11-08
0,False,2015-11-15
0,False,2015-11-22
49,False,2015-11-29
0,False,2015-12-06
51,False,2015-12-13
0,False,2015-12-20
0,False,2015-12-27
44,False,2016-01-03
43,False,2016-01-10
43,False,2016-01-17
0,False,2016-01-24
0,False,2016-01-31
0,False,2016-02-07
43,False,2016-02-14
87,False,2016-02-21
0,False,2016-02-28
0,False,2016-03-06
0,False,2016-03-13
0,False,2016-03-20
0,False,2016-03-27
0,False,2016-04-03
0,False,2016-04-10
0,False,2016-04-17
65,False,2016-04-24
0,False,2016-05-01
0,False,2016-05-08
0,False,2016-05-15
0,False,2016-05-22
47,False,2016-05-29
0,False,2016-06-05
0,False,2016-06-12
46,False,2016-06-19
0,False,2016-06-26
0,False,2016-07-03
48,False,2016-07-10
0,False,2016-07-17
47,False,2016-07-24
0,False,2016-07-31
48,False,2016-08-07
0,False,2016-08-14
0,False,2016-08-21
0,False,2016-08-28
0,False,2016-09-04
0,False,2016-09-11
0,False,2016-09-18
0,False,2016-09-25
44,False,2016-10-02
0,False,2016-10-09
0,False,2016-10-16
0,False,2016-10-23
0,False,2016-10-30
80,False,2016-11-06
0,False,2016-11-13
44,False,2016-11-20
0,False,2016-11-27
0,False,2016-12-04
82,False,2016-12-11
0,False,2016-12-18
0,False,2016-12-25
0,False,2017-01-01
0,False,2017-01-08
38,False,2017-01-15
0,False,2017-01-22
38,False,2017-01-29
38,False,2017-02-05
0,False,2017-02-12
0,False,2017-02-19
0,False,2017-02-26
0,False,2017-03-05
0,False,2017-03-12
0,False,2017-03-19
38,False,2017-03-26
0,False,2017-04-02
0,False,2017-04-09
0,False,2017-04-16
38,False,2017-04-23
0,False,2017-04-30
39,False,2017-05-07
41,False,2017-05-14
0,False,2017-05-21
43,False,2017-05-28
0,False,2017-06-04
0,False,2017-06-11
0,False,2017-06-18
43,False,2017-06-25
0,False,2017-07-02
0,False,2017-07-09
0,False,2017-07-16
0,False,2017-07-23
0,False,2017-07-30
0,False,2017-08-06
0,False,2017-08-13
0,False,2017-08-20
0,False,2017-08-27
38,False,2017-09-03
37,False,2017-09-10
0,False,2017-09-17
38,False,2017-09-24
0,False,2017-10-01
0,False,2017-10-08
38,False,2017-10-15
0,False,2017-10-22
0,False,2017-10-29
0,False,2017-11-05
0,False,2017-11-12
0,False,2017-11-19
37,False,2017-11-26
0,False,2017-12-03
38,False,2017-12-10
0,False,2017-12-17
43,False,2017-12-24
0,False,2017-12-31
0,False,2018-01-07
0,False,2018-01-14
0,False,2018-01-21
