suicide methods + suicide method,isPartial,date
56,False,2019-01-06
24,False,2019-01-13
23,False,2019-01-20
48,False,2019-01-27
24,False,2019-02-03
23,False,2019-02-10
46,False,2019-02-17
30,False,2019-02-24
23,False,2019-03-03
34,False,2019-03-10
23,False,2019-03-17
23,False,2019-03-24
0,False,2019-03-31
24,False,2019-04-07
25,False,2019-04-14
25,False,2019-04-21
38,False,2019-04-28
26,False,2019-05-05
26,False,2019-05-12
26,False,2019-05-19
0,False,2019-05-26
26,False,2019-06-02
0,False,2019-06-09
51,False,2019-06-16
26,False,2019-06-23
35,False,2019-06-30
0,False,2019-07-07
25,False,2019-07-14
33,False,2019-07-21
0,False,2019-07-28
0,False,2019-08-04
74,False,2019-08-11
0,False,2019-08-18
46,False,2019-08-25
23,False,2019-09-01
35,False,2019-09-08
23,False,2019-09-15
24,False,2019-09-22
23,False,2019-09-29
23,False,2019-10-06
0,False,2019-10-13
30,False,2019-10-20
23,False,2019-10-27
45,False,2019-11-03
22,False,2019-11-10
46,False,2019-11-17
0,False,2019-11-24
34,False,2019-12-01
23,False,2019-12-08
23,False,2019-12-15
24,False,2019-12-22
22,False,2019-12-29
21,False,2020-01-05
20,False,2020-01-12
21,False,2020-01-19
31,False,2020-01-26
21,False,2020-02-02
0,False,2020-02-09
100,False,2020-02-16
20,False,2020-02-23
33,False,2020-03-01
20,False,2020-03-08
27,False,2020-03-15
20,False,2020-03-22
19,False,2020-03-29
38,False,2020-04-05
19,False,2020-04-12
19,False,2020-04-19
19,False,2020-04-26
38,False,2020-05-03
19,False,2020-05-10
0,False,2020-05-17
20,False,2020-05-24
19,False,2020-05-31
26,False,2020-06-07
27,False,2020-06-14
21,False,2020-06-21
0,False,2020-06-28
32,False,2020-07-05
43,False,2020-07-12
21,False,2020-07-19
22,False,2020-07-26
22,False,2020-08-02
22,False,2020-08-09
54,False,2020-08-16
0,False,2020-08-23
21,False,2020-08-30
