baby blues,isPartial,date
0,False,2019-09-01
0,False,2019-09-08
0,False,2019-09-15
0,False,2019-09-22
44,False,2019-09-29
44,False,2019-10-06
0,False,2019-10-13
44,False,2019-10-20
44,False,2019-10-27
44,False,2019-11-03
65,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
0,False,2019-12-01
44,False,2019-12-08
45,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
43,False,2020-01-05
0,False,2020-01-12
41,False,2020-01-19
42,False,2020-01-26
42,False,2020-02-02
42,False,2020-02-09
82,False,2020-02-16
0,False,2020-02-23
41,False,2020-03-01
0,False,2020-03-08
41,False,2020-03-15
39,False,2020-03-22
37,False,2020-03-29
0,False,2020-04-05
35,False,2020-04-12
36,False,2020-04-19
73,False,2020-04-26
0,False,2020-05-03
38,False,2020-05-10
39,False,2020-05-17
0,False,2020-05-24
40,False,2020-05-31
41,False,2020-06-07
0,False,2020-06-14
43,False,2020-06-21
0,False,2020-06-28
42,False,2020-07-05
64,False,2020-07-12
43,False,2020-07-19
74,False,2020-07-26
44,False,2020-08-02
43,False,2020-08-09
89,False,2020-08-16
100,True,2020-08-23
