feeling down,isPartial,date
68,False,2019-09-01
76,False,2019-09-08
66,False,2019-09-15
91,False,2019-09-22
65,False,2019-09-29
88,False,2019-10-06
74,False,2019-10-13
73,False,2019-10-20
67,False,2019-10-27
79,False,2019-11-03
69,False,2019-11-10
75,False,2019-11-17
77,False,2019-11-24
72,False,2019-12-01
76,False,2019-12-08
64,False,2019-12-15
62,False,2019-12-22
61,False,2019-12-29
72,False,2020-01-05
82,False,2020-01-12
81,False,2020-01-19
88,False,2020-01-26
82,False,2020-02-02
85,False,2020-02-09
76,False,2020-02-16
77,False,2020-02-23
76,False,2020-03-01
75,False,2020-03-08
72,False,2020-03-15
66,False,2020-03-22
77,False,2020-03-29
79,False,2020-04-05
80,False,2020-04-12
87,False,2020-04-19
100,False,2020-04-26
77,False,2020-05-03
82,False,2020-05-10
79,False,2020-05-17
84,False,2020-05-24
64,False,2020-05-31
76,False,2020-06-07
60,False,2020-06-14
76,False,2020-06-21
77,False,2020-06-28
82,False,2020-07-05
85,False,2020-07-12
65,False,2020-07-19
69,False,2020-07-26
67,False,2020-08-02
62,False,2020-08-09
82,False,2020-08-16
52,True,2020-08-23
