i want to die,isPartial,date
49,False,2019-09-08
99,False,2019-09-15
100,False,2019-09-22
49,False,2019-09-29
100,False,2019-10-06
0,False,2019-10-13
50,False,2019-10-20
0,False,2019-10-27
99,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
78,False,2019-11-24
48,False,2019-12-01
50,False,2019-12-08
67,False,2019-12-15
0,False,2019-12-22
53,False,2019-12-29
98,False,2020-01-05
46,False,2020-01-12
0,False,2020-01-19
46,False,2020-01-26
47,False,2020-02-02
47,False,2020-02-09
78,False,2020-02-16
44,False,2020-02-23
46,False,2020-03-01
0,False,2020-03-08
0,False,2020-03-15
65,False,2020-03-22
42,False,2020-03-29
43,False,2020-04-05
40,False,2020-04-12
0,False,2020-04-19
63,False,2020-04-26
41,False,2020-05-03
42,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
46,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
0,False,2020-06-21
49,False,2020-06-28
0,False,2020-07-05
48,False,2020-07-12
0,False,2020-07-19
50,False,2020-07-26
0,False,2020-08-02
49,False,2020-08-09
50,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
