suicidal thoughts,isPartial,date
15,False,2019-01-06
15,False,2019-01-13
0,False,2019-01-20
44,False,2019-01-27
44,False,2019-02-03
14,False,2019-02-10
21,False,2019-02-17
0,False,2019-02-24
29,False,2019-03-03
15,False,2019-03-10
46,False,2019-03-17
23,False,2019-03-24
31,False,2019-03-31
16,False,2019-04-07
32,False,2019-04-14
32,False,2019-04-21
15,False,2019-04-28
0,False,2019-05-05
31,False,2019-05-12
32,False,2019-05-19
31,False,2019-05-26
30,False,2019-06-02
15,False,2019-06-09
31,False,2019-06-16
16,False,2019-06-23
32,False,2019-06-30
16,False,2019-07-07
16,False,2019-07-14
16,False,2019-07-21
16,False,2019-07-28
16,False,2019-08-04
0,False,2019-08-11
16,False,2019-08-18
15,False,2019-08-25
15,False,2019-09-01
29,False,2019-09-08
0,False,2019-09-15
14,False,2019-09-22
15,False,2019-09-29
29,False,2019-10-06
0,False,2019-10-13
100,False,2019-10-20
21,False,2019-10-27
28,False,2019-11-03
14,False,2019-11-10
14,False,2019-11-17
0,False,2019-11-24
14,False,2019-12-01
14,False,2019-12-08
0,False,2019-12-15
0,False,2019-12-22
29,False,2019-12-29
20,False,2020-01-05
20,False,2020-01-12
55,False,2020-01-19
20,False,2020-01-26
13,False,2020-02-02
13,False,2020-02-09
19,False,2020-02-16
25,False,2020-02-23
13,False,2020-03-01
12,False,2020-03-08
0,False,2020-03-15
12,False,2020-03-22
24,False,2020-03-29
35,False,2020-04-05
23,False,2020-04-12
22,False,2020-04-19
11,False,2020-04-26
22,False,2020-05-03
12,False,2020-05-10
17,False,2020-05-17
0,False,2020-05-24
11,False,2020-05-31
23,False,2020-06-07
30,False,2020-06-14
0,False,2020-06-21
13,False,2020-06-28
13,False,2020-07-05
19,False,2020-07-12
19,False,2020-07-19
27,False,2020-07-26
26,False,2020-08-02
0,False,2020-08-09
13,False,2020-08-16
26,False,2020-08-23
13,False,2020-08-30
