suicide hotline,isPartial,date
100,False,2019-09-08
75,False,2019-09-15
79,False,2019-09-22
75,False,2019-09-29
76,False,2019-10-06
76,False,2019-10-13
69,False,2019-10-20
71,False,2019-10-27
77,False,2019-11-03
69,False,2019-11-10
79,False,2019-11-17
61,False,2019-11-24
68,False,2019-12-01
84,False,2019-12-08
87,False,2019-12-15
78,False,2019-12-22
74,False,2019-12-29
75,False,2020-01-05
70,False,2020-01-12
69,False,2020-01-19
71,False,2020-01-26
76,False,2020-02-02
78,False,2020-02-09
80,False,2020-02-16
75,False,2020-02-23
74,False,2020-03-01
65,False,2020-03-08
67,False,2020-03-15
70,False,2020-03-22
64,False,2020-03-29
66,False,2020-04-05
72,False,2020-04-12
73,False,2020-04-19
83,False,2020-04-26
77,False,2020-05-03
72,False,2020-05-10
75,False,2020-05-17
74,False,2020-05-24
59,False,2020-05-31
68,False,2020-06-07
84,False,2020-06-14
84,False,2020-06-21
90,False,2020-06-28
84,False,2020-07-05
75,False,2020-07-12
83,False,2020-07-19
70,False,2020-07-26
73,False,2020-08-02
82,False,2020-08-09
79,False,2020-08-16
74,False,2020-08-23
72,True,2020-08-30
