feeling down,isPartial,date
58,False,2019-09-01
27,False,2019-09-08
37,False,2019-09-15
27,False,2019-09-22
100,False,2019-09-29
44,False,2019-10-06
57,False,2019-10-13
42,False,2019-10-20
88,False,2019-10-27
85,False,2019-11-03
55,False,2019-11-10
41,False,2019-11-17
56,False,2019-11-24
0,False,2019-12-01
56,False,2019-12-08
42,False,2019-12-15
31,False,2019-12-22
29,False,2019-12-29
44,False,2020-01-05
50,False,2020-01-12
27,False,2020-01-19
27,False,2020-01-26
53,False,2020-02-02
80,False,2020-02-09
54,False,2020-02-16
68,False,2020-02-23
75,False,2020-03-01
59,False,2020-03-08
38,False,2020-03-15
60,False,2020-03-22
24,False,2020-03-29
41,False,2020-04-05
40,False,2020-04-12
23,False,2020-04-19
38,False,2020-04-26
47,False,2020-05-03
24,False,2020-05-10
59,False,2020-05-17
40,False,2020-05-24
23,False,2020-05-31
58,False,2020-06-07
61,False,2020-06-14
51,False,2020-06-21
26,False,2020-06-28
79,False,2020-07-05
54,False,2020-07-12
0,False,2020-07-19
66,False,2020-07-26
35,False,2020-08-02
53,False,2020-08-09
52,False,2020-08-16
62,True,2020-08-23
