suicidal ideation,isPartial,date
47,False,2019-09-08
47,False,2019-09-15
94,False,2019-09-22
49,False,2019-09-29
100,False,2019-10-06
74,False,2019-10-13
49,False,2019-10-20
50,False,2019-10-27
48,False,2019-11-03
46,False,2019-11-10
47,False,2019-11-17
48,False,2019-11-24
91,False,2019-12-01
47,False,2019-12-08
48,False,2019-12-15
0,False,2019-12-22
0,False,2019-12-29
44,False,2020-01-05
43,False,2020-01-12
46,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
45,False,2020-02-09
46,False,2020-02-16
44,False,2020-02-23
43,False,2020-03-01
43,False,2020-03-08
0,False,2020-03-15
0,False,2020-03-22
41,False,2020-03-29
84,False,2020-04-05
0,False,2020-04-12
39,False,2020-04-19
39,False,2020-04-26
80,False,2020-05-03
41,False,2020-05-10
0,False,2020-05-17
41,False,2020-05-24
39,False,2020-05-31
78,False,2020-06-07
62,False,2020-06-14
85,False,2020-06-21
0,False,2020-06-28
89,False,2020-07-05
92,False,2020-07-12
0,False,2020-07-19
45,False,2020-07-26
0,False,2020-08-02
90,False,2020-08-09
44,False,2020-08-16
45,False,2020-08-23
0,True,2020-08-30
