commit suicide,isPartial,date
41,False,2019-01-06
50,False,2019-01-13
67,False,2019-01-20
59,False,2019-01-27
52,False,2019-02-03
39,False,2019-02-10
90,False,2019-02-17
84,False,2019-02-24
81,False,2019-03-03
54,False,2019-03-10
62,False,2019-03-17
20,False,2019-03-24
34,False,2019-03-31
56,False,2019-04-07
35,False,2019-04-14
35,False,2019-04-21
34,False,2019-04-28
21,False,2019-05-05
42,False,2019-05-12
87,False,2019-05-19
67,False,2019-05-26
43,False,2019-06-02
75,False,2019-06-09
55,False,2019-06-16
65,False,2019-06-23
56,False,2019-06-30
79,False,2019-07-07
58,False,2019-07-14
33,False,2019-07-21
29,False,2019-07-28
71,False,2019-08-04
95,False,2019-08-11
27,False,2019-08-18
39,False,2019-08-25
39,False,2019-09-01
76,False,2019-09-08
38,False,2019-09-15
58,False,2019-09-22
45,False,2019-09-29
34,False,2019-10-06
59,False,2019-10-13
45,False,2019-10-20
39,False,2019-10-27
100,False,2019-11-03
31,False,2019-11-10
43,False,2019-11-17
64,False,2019-11-24
37,False,2019-12-01
25,False,2019-12-08
59,False,2019-12-15
55,False,2019-12-22
89,False,2019-12-29
49,False,2020-01-05
23,False,2020-01-12
48,False,2020-01-19
65,False,2020-01-26
18,False,2020-02-02
41,False,2020-02-09
93,False,2020-02-16
91,False,2020-02-23
85,False,2020-03-01
45,False,2020-03-08
33,False,2020-03-15
16,False,2020-03-22
39,False,2020-03-29
56,False,2020-04-05
68,False,2020-04-12
41,False,2020-04-19
68,False,2020-04-26
63,False,2020-05-03
92,False,2020-05-10
66,False,2020-05-17
39,False,2020-05-24
64,False,2020-05-31
38,False,2020-06-07
49,False,2020-06-14
42,False,2020-06-21
75,False,2020-06-28
35,False,2020-07-05
77,False,2020-07-12
42,False,2020-07-19
59,False,2020-07-26
73,False,2020-08-02
33,False,2020-08-09
44,False,2020-08-16
54,False,2020-08-23
49,False,2020-08-30
