online suicide,isPartial,date
0,False,2019-09-01
0,False,2019-09-08
50,False,2019-09-15
49,False,2019-09-22
51,False,2019-09-29
52,False,2019-10-06
50,False,2019-10-13
0,False,2019-10-20
0,False,2019-10-27
96,False,2019-11-03
0,False,2019-11-10
0,False,2019-11-17
0,False,2019-11-24
48,False,2019-12-01
0,False,2019-12-08
100,False,2019-12-15
0,False,2019-12-22
50,False,2019-12-29
47,False,2020-01-05
45,False,2020-01-12
0,False,2020-01-19
0,False,2020-01-26
0,False,2020-02-02
0,False,2020-02-09
0,False,2020-02-16
0,False,2020-02-23
44,False,2020-03-01
45,False,2020-03-08
43,False,2020-03-15
42,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
41,False,2020-04-12
0,False,2020-04-19
40,False,2020-04-26
0,False,2020-05-03
41,False,2020-05-10
0,False,2020-05-17
0,False,2020-05-24
41,False,2020-05-31
0,False,2020-06-07
0,False,2020-06-14
44,False,2020-06-21
0,False,2020-06-28
0,False,2020-07-05
45,False,2020-07-12
46,False,2020-07-19
0,False,2020-07-26
0,False,2020-08-02
43,False,2020-08-09
42,False,2020-08-16
0,True,2020-08-23
