baby blues,isPartial,date
51,False,2019-09-01
99,False,2019-09-08
50,False,2019-09-15
51,False,2019-09-22
0,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
50,False,2019-10-20
100,False,2019-10-27
0,False,2019-11-03
48,False,2019-11-10
0,False,2019-11-17
51,False,2019-11-24
49,False,2019-12-01
49,False,2019-12-08
76,False,2019-12-15
83,False,2019-12-22
0,False,2019-12-29
95,False,2020-01-05
45,False,2020-01-12
48,False,2020-01-19
0,False,2020-01-26
68,False,2020-02-02
0,False,2020-02-09
45,False,2020-02-16
44,False,2020-02-23
89,False,2020-03-01
45,False,2020-03-08
66,False,2020-03-15
43,False,2020-03-22
0,False,2020-03-29
0,False,2020-04-05
0,False,2020-04-12
40,False,2020-04-19
0,False,2020-04-26
0,False,2020-05-03
42,False,2020-05-10
82,False,2020-05-17
0,False,2020-05-24
42,False,2020-05-31
84,False,2020-06-07
42,False,2020-06-14
0,False,2020-06-21
45,False,2020-06-28
92,False,2020-07-05
0,False,2020-07-12
46,False,2020-07-19
0,False,2020-07-26
46,False,2020-08-02
47,False,2020-08-09
0,False,2020-08-16
0,True,2020-08-23
