commit suicide,isPartial,date
60,False,2019-09-08
41,False,2019-09-15
0,False,2019-09-22
81,False,2019-09-29
0,False,2019-10-06
0,False,2019-10-13
0,False,2019-10-20
61,False,2019-10-27
41,False,2019-11-03
41,False,2019-11-10
82,False,2019-11-17
0,False,2019-11-24
41,False,2019-12-01
42,False,2019-12-08
86,False,2019-12-15
48,False,2019-12-22
0,False,2019-12-29
41,False,2020-01-05
59,False,2020-01-12
0,False,2020-01-19
61,False,2020-01-26
40,False,2020-02-02
60,False,2020-02-09
42,False,2020-02-16
38,False,2020-02-23
0,False,2020-03-01
76,False,2020-03-08
36,False,2020-03-15
0,False,2020-03-22
33,False,2020-03-29
100,False,2020-04-05
0,False,2020-04-12
0,False,2020-04-19
33,False,2020-04-26
0,False,2020-05-03
0,False,2020-05-10
36,False,2020-05-17
0,False,2020-05-24
34,False,2020-05-31
35,False,2020-06-07
36,False,2020-06-14
36,False,2020-06-21
36,False,2020-06-28
89,False,2020-07-05
0,False,2020-07-12
36,False,2020-07-19
0,False,2020-07-26
54,False,2020-08-02
72,False,2020-08-09
0,False,2020-08-16
0,False,2020-08-23
0,True,2020-08-30
