suicide methods,isPartial,date
56,False,2019-08-25
55,False,2019-09-01
53,False,2019-09-08
50,False,2019-09-15
40,False,2019-09-22
70,False,2019-09-29
49,False,2019-10-06
49,False,2019-10-13
64,False,2019-10-20
59,False,2019-10-27
69,False,2019-11-03
47,False,2019-11-10
42,False,2019-11-17
50,False,2019-11-24
46,False,2019-12-01
45,False,2019-12-08
38,False,2019-12-15
54,False,2019-12-22
45,False,2019-12-29
31,False,2020-01-05
35,False,2020-01-12
57,False,2020-01-19
30,False,2020-01-26
43,False,2020-02-02
46,False,2020-02-09
50,False,2020-02-16
39,False,2020-02-23
51,False,2020-03-01
34,False,2020-03-08
38,False,2020-03-15
26,False,2020-03-22
39,False,2020-03-29
30,False,2020-04-05
45,False,2020-04-12
18,False,2020-04-19
42,False,2020-04-26
51,False,2020-05-03
41,False,2020-05-10
39,False,2020-05-17
28,False,2020-05-24
37,False,2020-05-31
30,False,2020-06-07
100,False,2020-06-14
59,False,2020-06-21
18,False,2020-06-28
53,False,2020-07-05
50,False,2020-07-12
41,False,2020-07-19
38,False,2020-07-26
45,False,2020-08-02
43,False,2020-08-09
56,True,2020-08-16
